,id,name,copies,deck_part
0,33854624,Bystial Magnamhut,1,0
1,6637331,Bystial Druiswurm,1,0
2,91800273,Dimension Shifter,3,0
3,97698279,Centur-Ion Gargoyle II,1,0
4,15005145,Centur-Ion Primera,3,0
5,42493140,Centur-Ion Trudea,3,0
6,96030710,Centur-Ion Atrii,1,0
7,82112494,Superheavy Samurai Prodigy Wakaushi,2,0
8,19510093,Superheavy Samurai Monk Big Benkei,1,0
9,56727340,Superheavy Samurai Soulgaia Booster,1,0
10,83334932,Superheavy Samurai Motorbike,3,0
11,14558127,Ash Blossom & Joyous Spring,3,0
12,94145021,Droll & Lock Bird,3,0
13,77765207,Emblema Oath,3,0
14,41371602,Stand Up Centur-Ion!,3,0
15,92907248,Wake Up Centur-Ion!,1,0
16,4160316,Centur-Ion Bonds,1,0
17,61322713,Shadow's Light,3,0
18,85106525,Bonfire,2,0
19,24224830,Called by the Grave,1,0
20,40155014,Centur-Ion Phalanx,1,0
21,18158393,Mannadium Reframing,1,0
22,10045474,Infinite Impermanence,3,0
0,15982593,Centur-Ion Legatia,2,1
1,71858682,Centur-Ion Auxila,2,1
2,8841431,Centur-Ion Primera Primus,1,1
3,21123811,Cosmic Blazar Dragon,2,1
4,99585850,Red Supernova Dragon,1,1
5,63436931,Crimson Dragon,1,1
6,27572350,Bystial Dis Pater,1,1
7,22850702,Chaos Angel,1,1
8,821049,Visas Amritara,1,1
9,30983281,Accel Synchro Stardust Dragon,1,1
10,13076804,Chaos Archfiend,1,1
11,1528054,Silhouhatte Rabbit,1,1
0,42141493,Mulcharmy Fuwalos,3,2
1,60643553,Ghost Sister & Spooky Dogwood,2,2
2,8267140,Cosmic Cyclone,3,2
3,1149109,Deck Lockdown,3,2
4,15693423,Evenly Matched,2,2
5,7811875,Gravity Collapse,2,2
