,placement,player,archetype,deck_id,deck_cost
0,1,Paul David Delgado Rezabala,Snake-Eye,diabellstar-kashtira-snake-eye-494900,$208.95
1,2,Saimont Steward Sela Suarez,Melodious,melodious-494777,$114.45
2,3,Carlos Andres Perez Padilla,Fire King,diabellstar-snake-eye-fire-king-494926,$204.11
3,4,Jhon David Guerrero Sanchez,Fire King,diabellstar-snake-eye-fire-king-494927,$176.30
4,5,Josue Samuel Becerra Duque,Tenpai Dragon,tenpai-dragon-494780,$191.49
5,6,Fernando Andres Ballen Gavilanez ,Voiceless Voice,voiceless-voice-494773,$244.30
6,7,Jorge Eduardo Salazar Vasquez,Tenpai Dragon,tenpai-dragon-494344,$161.04
7,8,Jose Roberto Perez Pozo,Salamangreat,salamangreat-494774,$218.19
8,9,Erick Jose Sampedro Pallo,Fire King,diabellstar-snake-eye-fire-king-494782,$176.77
9,10,Carlos Julio Ceballos Cedeno,Snake-Eye,diabellstar-kashtira-snake-eye-494898,$214.53
10,11,Luis David Cada Aguilera,Snake-Eye,diabellstar-kashtira-snake-eye-494911,$222.78
11,12,Hugo Ernesto Garces Cevallos,Voiceless Voice,branded-voiceless-voice-494783,$187.33
12,13,Andree Aaron Orbea Sabando,Runick,stun-runick-494775,$69.81
13,14,Walter Emilio Fuentes Bustos ,Mannadium,scareclaw-mannadium-494901,$218.51
14,15,Paola Carolina Seekatz Mujica,Labrynth,labrynth-494856,$175.63
15,16,Sebastian Basantes Sanchez ,Salamangreat,salamangreat-494776,$186.51
