,placement,player,archetype,deck_id,deck_cost
0,1,Raphael Neven,Tri-Brigade,zoodiac-tri-brigade-196552,$84.15
1,2,Max Timm,Tri-Brigade,zoodiac-tri-brigade-196556,$79.58
2,3,Johannes Urbicht,Tri-Brigade,tri-brigade-196560,$85.51
3,4,Axel Benoit,Madolche,madolche-195547,$79.05
4,5,Sam Pearson,Tri-Brigade,zoodiac-tri-brigade-196572,$85.25
5,6,Stratos Fotakis,Tri-Brigade,tri-brigade-196576,$86.40
6,7,Gabriel Netz,Dragon Link,dragon-link-196568,$101.14
7,8,Calum Cook,Prank-Kids,prank-kids-196580,$81.48
8,9,Ilian Entchev,Dogmatika,dogmatika-subterror-dragoon-buster-blader-196584,$98.75
9,10,Alessandro Boniolo,Tri-Brigade,ancient-warriors-tri-brigade-195556,$80.33
10,11,Donovan Leblanc,Salamangreat,salamangreat-195551,$56.98
11,12,Sebastian Lemke,Virtual World,virtual-world-196596,$41.88
12,13,Jannes Wurtenberger,Drytron,drytron-196592,$126.50
13,14,Tim Meckel,Drytron,drytron-196588,$140.32
14,15,<2 unknown Top 16 duelists>,,,
15,16,Davide Venturi,Dogmatika,dogmatika-invoked-shaddoll-193884,$64.87
16,17,Klaudjo Kurtezi,Dinosaurs,scrap-dinosaurs-193906,$61.08
17,18,Jonah Singer,Drytron,dragoon-drytron-193898,$121.70
18,19,El Medhi Medjdoub,Tri-Brigade,zoodiac-tri-brigade-193888,$102.78
19,20,Herman Hannson,Tri-Brigade,zoodiac-tri-brigade-193894,$83.86
20,21,Ayyoub Falahi,Salamangreat,salamangreat-192006,$78.91
21,22,Thomas de Krujf,Drytron,drytron-193918,$128.93
22,23,Ryan Jacobs,Tri-Brigade,tri-brigade-193914,$61.89
23,24,Alexander Hultzsch,Drytron,drytron-193868,$141.84
24,25,Can Tari,Drytron,drytron-193880,$142.00
25,26,Benjamin Robinson,Virtual World,virtual-world-193876,$78.22
26,27,Aurel Kugler,Virtual World,virtual-world-193872,$60.50
27,28,<4 unknown Top 32 duelists>,,,
