,placement,player,archetype,deck_id,deck_cost
0,1,Tristan Rémond,Kashtira,kashtira-331610,$195.96
1,2,Matthieu Bricard,Dragon Link,bystial-dragon-link-331526,$236.22
2,3,Etienne Vannucci,Spright,melffy-adventurer-spright-331677,$144.85
3,4,Nicolas Bonotto,Spright,evil-twin-runick-spright-331678,$143.16
4,5,Enzo Duval,Vanquish Soul,enforcer-vanquish-soul-331685,$238.14
5,6,Alexandre Collet,Dragon Link,bystial-dragon-link-331684,$257.05
6,7,Guillaume Maron,Kashtira,kashtira-331683,$206.64
7,8,Nicolas Athanassopoulos,Despia,bystial-branded-despia-331686,$180.22
8,9,Gabriel Soussi,Fur Hire,runick-spright-fur-hire-331715,$121.32
9,10,Quentin Heurtevent,Rikka,therion-sunavalon-rikka-331518,$147.66
10,11,Thibault Giordan,Spright,tri-brigade-melffy-spright-331716,$94.46
11,12,Wael Jebabra,Despia,branded-despia-331718,$103.84
12,13,Donovan Leblanc,Kashtira,kashtira-331719,$199.31
13,14,Aurélien Piquet,Floowandereeze,floowandereeze-331532,$56.48
14,15,Rafael Panda,Rikka,therion-sunavalon-rikka-331712,$97.74
15,16,Valentin Maurici,Vanquish Soul,kashtira-vanquish-soul-331711,$207.15
16,17,Jeanne Taravella,Tearlaments,destiny-ishizu-tearlaments-332071,$154.75
17,18,Haouès Telghemti,Synchron,adventurer-synchron-331613,$114.62
18,19,Julien Bonnet,Spright,melffy-spright-331740,$150.70
19,20,Mehdi Bery,Despia,branded-despia-331742,$89.53
20,21,Theo Warnez,Dragon Link,bystial-dragon-link-331741,$179.99
21,22,Abdou G.,Spright,melffy-spright-331617,$159.84
22,23,Pierre Rodde,Kashtira,kashtira-331726,$195.77
23,24,Dorian Cacitti-Holland,Kashtira,kashtira-331720,$177.97
24,25,Paul Boucher,Kashtira,kashtira-331722,$181.72
25,26,Nicolas Paquet,Sky Striker,sky-striker-331725,$110.60
26,27,Alexandre Paries ,Traptrix,traptrix-331530,$91.20
27,28,Jonathan Neveu,Spright,spright-331727,$163.01
28,29,Hugo Kahoul,Kashtira,kashtira-331723,$181.72
29,30,Lucas Lancelot,Spright,melffy-spright-331739,$166.21
30,31,Romain B.,Marincess,marincess-331614,$87.15
31,32,<unknown duelist>,,,
32,33,Enzo Demaretz,Swordsoul,yang-zing-tenyi-swordsoul-331519,$132.65
33,34,Popoteuch,Runick,,
34,35,Nathanael Souris,Despia,branded-despia-331750,$107.00
35,36,Samir Bachar ,Spright,melffy-spright-331617,$159.84
36,37,Guillain Carlo,Dogmatika,dogmatika-334746,$110.79
37,38,Vanille V.,Spright,,
38,39,Muaka Dieudonne,Despia,bystial-branded-despia-332088,$155.24
39,40,Triangle I.,Despia,,
40,41,Haris H.,Plunder Patroll,,
41,42,Dieudo7,Despia,,
42,43,Jake Green,Swordsoul,,
43,44,Victor B.,Plunder Patroll,,
44,45,Noam Tendo,Dragon Link,bystial-dragon-link-332070,$166.15
45,46,Matthieu L.,Kashtira,,
46,47,Remi V.,Spright,,
47,48,Alexandre S.,Mannadium,,
48,49,Sylvain M.,Vanquish Soul,vanquish-soul-331630,$190.93
49,50,<15 unknown Top 64 duelists>,,,
