,placement,player,archetype,deck_id
0,1,Anthony Lopes,Snake-Eye,diabellstar-snake-eye-491126
1,2,Gabriel Soussi,Snake-Eye,diabellstar-snake-eye-491632
2,3,Pierre Burgals,Snake-Eye,diabellstar-kashtira-snake-eye-491627
3,4,Brice Bonneau,Snake-Eye,diabellstar-snake-eye-491952
4,5,Naïm Fethi,Fire King,diabellstar-snake-eye-fire-king-491638
5,6,Dorian Cacitti-Holland  ,Snake-Eye,diabellstar-kashtira-snake-eye-491627
6,7,Tristan Remond,Snake-Eye,diabellstar-snake-eye-491896
7,8,Valentin Bourdon,Salamangreat,salamangreat-491551
8,9,Raphael Duriez       ,Snake-Eye,diabellstar-melodious-snake-eye-491888
9,10,Damien Valla        ,Fire King,diabellstar-snake-eye-fire-king-491885
10,11,Nathan Fanget,Yubel,unchained-yubel-494179
11,12,Alexandre Petitjean,Despia,branded-despia-491894
12,13,Nicolas Busioic       ,Labrynth,labrynth-491889
13,14,Félix Chanfreau       ,Voiceless Voice,voiceless-voice-491597
14,15,Samuel Schoirfer,Tenpai Dragon,tenpai-dragon-491447
15,16,Yassine El Abdaoui       ,Salamangreat,salamangreat-492001
16,17,Nicolas Athanassopoulos,Despia,bystial-branded-despia-491986
17,18,Virgile Dion,Fire King,diabellstar-snake-eye-fire-king-491891
18,19,Brice Dodeller,Snake-Eye,diabellstar-kashtira-snake-eye-491991
19,20,Amir Akloul,Dark Magician,snake-eye-buster-blader-dark-magician-491828
20,21,Raphaël Pinto       ,Fire King,
21,22,Antoine Charron       ,Snake-Eye,
22,23,Eric Schuchter        ,Snake-Eye,
23,24,Alexandre Stefanini        ,Snake-Eye,diabellstar-snake-eye-491819
24,25,Maïk Vinzant       ,Snake-Eye,
25,26,Pierre-Marie Nicolezeau       ,Snake-Eye,diabellstar-snake-eye-493683
26,27,Kainap Bjorn       ,Runick,stun-runick-491817
27,28,Waël Jebabra       ,Despia,branded-despia-493782
28,29,Gaëtan Lesage      ,Dark World,danger-dark-world-492444
29,30,Thibaut Pelcot       ,Melodious,melodious-492445
30,31,Romain Pondicq,Tenpai Dragon,tenpai-dragon-491877
31,32,Kevin Sobrie       ,Tenpai Dragon,tenpai-dragon-496484
32,33,Antoine Dorso-Martin       ,Snake-Eye,diabellstar-kashtira-snake-eye-491562
33,34,Mathis Magane,Fire King,diabellstar-snake-eye-fire-king-491886
34,35,Wilfrid Kraushaar,Snake-Eye,diabellstar-kashtira-snake-eye-492399
35,36,Mehdi Zaidi,Snake-Eye,diabellstar-kashtira-snake-eye-491812
36,37,Guillaume Venier,Snake-Eye,diabellstar-kashtira-snake-eye-491814
37,38,Enguerran Best,Snake-Eye,
38,39,Vincent Hammouche      ,Snake-Eye,
39,40,Arthur Chambraud       ,Snake-Eye,diabellstar-snake-eye-491954
40,41,Valentin Bouvard,Snake-Eye,diabellstar-snake-eye-491567
41,42,Samir Bachar       ,Snake-Eye,diabellstar-snake-eye-500664
42,43,Loan Cite-Mielle       ,Labrynth,unchained-labrynth-492832
43,44,Jordan Guiot,Voiceless Voice,branded-voiceless-voice-491792
44,45,Florian Dufour       ,Snake-Eye,
45,46,Antoine Vacossin,Tenpai Dragon,tenpai-dragon-505706
46,47,Alexy Flamang,Tenpai Dragon,
47,48,Romain Lebret,Tenpai Dragon,tenpai-dragon-491789
48,49,Dieudonne Muaka,Tenpai Dragon,tenpai-dragon-491803
49,50,Anas Saidani,Salamangreat,salamangreat-506286
50,51,Vincent Maillet,Melodious,melodious-491571
51,52,Urrutia Quentin,Tenpai Dragon,tenpai-dragon-491798
52,53,Pierre-Louis Taillet,Floowandereeze,floowandereeze-493374
53,54,Guillaume Pelloquin,Floowandereeze,floowandereeze-495618
54,55,Matheo Denis       ,Tenpai Dragon,tenpai-dragon-491794
55,56,Sankou Diallo       ,Earth Machine,earth-machine-491640
56,57,Julien Lorgnier,Voiceless Voice,
57,58,Nicolas Zeindler,Tenpai Dragon,tenpai-dragon-493426
58,59,Nicolas Vignat,Tenpai Dragon,tenpai-dragon-491793
59,60,Maxence Hurtrelle Richy,Chimera,
60,61,Davy Le Réour,Spright,
61,62,Anthony Porez,Voiceless Voice,voiceless-voice-491787
62,63,Maximilien Markovic,Voiceless Voice,
63,64,Jason Robertson,Snake-Eye,
