,placement,player,archetype,deck_id
0,1,Dinh-Kha Bui,Labrynth,labrynth-334214
1,2,Tom Kleinegräber,Kashtira,
2,3,Maximilian Henn,Kashtira,kashtira-332195
3,4,Franco Persano,Rikka,therion-sunavalon-rikka-332271
4,5,Tim Runte,Dragon Link,bystial-dragon-link-332189
5,6,Eric Töpel,Rikka,
6,7,Lukas Horstmann,Despia,branded-despia-332196
7,8,Servet Kaan Zeybek,Vanquish Soul,vanquish-soul-332192
8,9,Joshua Schmidt,Fur Hire,runick-spright-fur-hire-332300
9,10,Steffen Eichelberger	,Spright,evil-twin-runick-spright-332848
10,11,Felix Kolloch,Spright,evil-twin-runick-spright-332391
11,12,Tristan Schiller,Kashtira,kashtira-332842
12,13,Jonas Koschel,Labrynth,
13,14,Jack Verma,Labrynth,labrynth-334214
14,15,Zio Mundry,Spright,evil-twin-runick-spright-332297
15,16,Joshua Lawson,Kashtira,kashtira-332292
16,17,Johannes Bauer,Spright,
17,18,Niko Schlierkamp,Spright,evil-twin-runick-spright-332532
18,19,Nikita Herbst,Spright,
19,20,Timo Nimz,Speedroid,kashtira-speedroid-332093
20,21,Kian Mac,Mannadium,scareclaw-mannadium-332198
21,22,Julius Schwarzkopf,Traptrix,rikka-traptrix-332281
22,23,Jonte Makus,Purrely,enforcer-purrely-332274
23,24,Philipp Beck,Spright,evil-twin-spright-332393
24,25,Philipp Niehus,Kashtira,raidraptor-kashtira-332397
25,26,Dinh Khang Pham,Spright,power-spell-spright-336032
26,27,Hannes Götz,Labrynth,labrynth-332194
27,28,Stephan Zimmer,Kashtira,
28,29,Aurel Kugler,Kashtira,kashtira-332858
29,30,Tobias Sommerfeld,Kashtira,
30,31,Kai Czora,Spright,evil-twin-runick-spright-332849
31,32,Johnny Hofacker,Kashtira,kashtira-332395
