,placement,player,archetype,deck_id,deck_cost
0,1,Daniel Hartmann,P.U.N.K.,therion-p-u-n-k-290143,$111.50
1,2,Ernst S.,Despia,branded-predaplant-despia-290774,$79.77
2,3,Tobias Hertrich,Floowandereeze,floowandereeze-290711,$68.22
3,4,<unknown duelist>,,,
4,5,Lukas Hortsmann,Sky Striker,mystic-mine-enforcer-sky-striker-290131,$75.56
5,6,Lucas Windel,Swordsoul,tenyi-swordsoul-290310,$111.46
6,7,Can T.,P.U.N.K.,therion-p-u-n-k-290122,$77.24
7,8,<unknown duelist>,,,
8,9,Henri Dopheide,Swordsoul,tenyi-swordsoul-290310,$111.46
9,10,<7 unknown Top 16 duelists>,,,
