,placement,player,archetype,deck_id
0,1,Oros Máté,Despia,branded-despia-330233
1,2,Havasi Zsombor,Kashtira,kashtira-330232
2,3,Kurucz Milán,Despia,bystial-branded-despia-329825
3,4,Molnar Bence Tivadar,Predaplant,branded-predaplant-330231
4,5,Balogh Zsolt,Mathmech,code-talker-mathmech-330226
5,6,Maros Gábor,Dogmatika,
6,7,Lázár Gergely,Mathmech,spirit-mathmech-330228
7,8,Tarcsa Tamás,Kashtira,kashtira-330230
8,9,Legány Barnabás,Despia,
9,10,Vágási András,Orcust,
10,11,Hajdu Tamás,Traptrix,traptrix-330227
11,12,Csuja Bendegúz,Spright,
12,13,Aranyosi Tamás,Superheavy Samurai,superheavy-samurai-330224
13,14,Fervágner Bence,Kashtira,kashtira-330225
14,15,Bara Szabolcs Levente,Superheavy Samurai,superheavy-samurai-330223
15,16,Tahir Ali,Dragon Link,
