,placement,player,archetype,deck_id
0,1,Dean Sanlon,Snake-Eye,diabellstar-snake-eye-498157
1,2,Geoff Valic,Despia,branded-despia-497714
2,3,Racibor,Tearlaments,shaddoll-horus-tearlaments-501636
3,4,Adam Leonard,Tenpai Dragon,tenpai-dragon-501570
4,5,Raymond Gray,Snake-Eye,
5,6,Matthew Brady,Snake-Eye,diabellstar-snake-eye-498159
6,7,Peter Neeson,Kashtira,heatsoul-kashtira-498989
7,8,Luke Murtagh,Melodious,
8,9,Jaime Hill,Snake-Eye,
9,10,Niall Barry,Snake-Eye,
10,11,John Andrews,Despia,
11,12,Dave Stapleton,Voiceless Voice,
12,13,Callium Finnegan,Snake-Eye,diabellstar-snake-eye-497675
13,14,Kristof Nichogiannopoulus,Melodious,
14,15,Daniel Hefferman,Melodious,
15,16,Alfie Morton,Floowandereeze,
