,placement,player,archetype,deck_id,deck_cost
0,1,Jhon David Guerrero Sanchez,Spright,cyberse-bystial-spright-316357,$208.14
1,2,Jose Lagunes Maitret,Tearlaments,bystial-ishizu-tearlaments-316358,$169.80
2,3,Cesar Victor Lopez Coscia,Tearlaments,floowandereeze-316364,$73.26
3,4,Jonathan Malaga Morales,Spright,spright-316363,$177.33
4,5,Alfredo Gamaliel Ancheyta Benitez,Spright,kashtira-spright-316460,$179.15
5,6,Carlos Padilla,Tearlaments,salvation-ishizu-tearlaments-316462,$162.02
6,7,Luiz Nascimento,Crystal Beast,mathmech-crystal-beast-316458,$79.19
7,8,Key Andree Chavez Curioso,Floowandereeze,floowandereeze-316459,$92.11
8,9,Gerald South,Tearlaments,bystial-ishizu-tearlaments-316467,$182.20
9,10,Carlos Benecio Junior,Tearlaments,bystial-ishizu-tearlaments-316469,$159.43
10,11,Sebastian Rozas,Tearlaments,bystial-ishizu-tearlaments-316472,$151.81
11,12,Renato Rosell Alfaro Cereghino,Tearlaments,bystial-ishizu-tearlaments-316468,$180.51
12,13,Luis Alfredo Sierra Villa ,Spright,bystial-spright-316470,$148.00
13,14,Rodolfo Alcantara,Spright,bystial-spright-316464,$154.33
14,15,Frankjer Calzadilla,Tearlaments,ishizu-tearlaments-316463,$148.26
15,16,Pablo Lopez Salcido,Floowandereeze,floowandereeze-316471,$64.72
16,17,Alexis Romero,Tearlaments,bystial-ishizu-tearlaments-316578,$185.67
17,18,Gustavo Maia do Caro,Tearlaments,bystial-ishizu-tearlaments-316574,$182.02
18,19,Rafael Moncao Miller,Tearlaments,bystial-ishizu-tearlaments-316572,$186.76
19,20,Jesus Michele Coppola Araujo,Dracoslayer,performapal-odd-eyes-dracoslayer-316571,$73.77
20,21,Rafael Mariano Reich,Tearlaments,bystial-ishizu-tearlaments-316564,$185.58
21,22,Edgar Gerardo Rodriguez Munoz,Tearlaments,grapha-ishizu-tearlaments-316561,$91.74
22,23,Edgar Jhair Gonzalez,Tearlaments,bystial-ishizu-tearlaments-316558,$165.72
23,24,Kevin Martinez,Tearlaments,bystial-ishizu-tearlaments-316557,$183.52
24,25,Nicolas Godoy,Tearlaments,bystial-ishizu-tearlaments-316556,$169.67
25,26,Carlos Cristobal Vergara,Spright,bystial-spright-316559,$210.69
26,27,Alan Marcelo Rivero Nunez,Dragon Link,bystial-dragon-link-316562,$201.02
27,28,Luan Diniz,Mathmech,bystial-mathmech-316553,$87.47
28,29,Fernando Rosales V.,Spright,bystial-spright-316575,$214.41
29,30,Renato Andre Menacho Vidal,Floowandereeze,floowandereeze-316569,$70.25
30,31,Carlos Henrique Ferreira,Floowandereeze,bystial-ishizu-tearlaments-316557,$183.52
31,32,Marcelo Ancelmo Soarez,Floowandereeze,floowandereeze-316573,$42.78
