,placement,player,archetype,deck_id
0,1,Rafael Mariano Reich,Tearlaments,horus-danger-tearlaments-429960
1,2,Carlos Alejandro Terrazas Hernandez,Vanquish Soul,vanquish-soul-430637
2,3,Arnold Nadaban Zanabria,Labrynth,unchained-labrynth-430567
3,4,Icaro do Nascimento Silva,Vanquish Soul,vanquish-soul-430226
4,5,Ernesto Pascual Gomez Hernandez,Fire King,diabellstar-snake-eye-fire-king-429967
5,6,Luis Alfredo Sierra Villa,Fire King,diabellstar-snake-eye-fire-king-429965
6,7,Pedro Antonio Souza Vieira,Spright,melffy-spright-431419
7,8,Kevin Martinez Martinez,Rescue-ACE,diabellstar-rescue-ace-431559
8,9,Jose Mauro Montano Cano,Spright,evil-twin-runick-spright-431558
9,10,Diego Esteban Martinez Campos,Mannadium,scareclaw-mannadium-430224
10,11,Lucas Bezerra Beneck,Kashtira,kashtira-431561
11,12,Johan De Castilho Hallack,Fire King,diabellstar-snake-eye-fire-king-431599
12,13,Juan Armando Sanchez Galvez,Rescue-ACE,diabellstar-rescue-ace-431746
13,14,Jorge Luis Lengua Navarro,Labrynth,labrynth-430574
14,15,Cesar Miguel Santos Arruda,Floowandereeze,floowandereeze-430602
15,16,Alvaro Alonso Astua Madrigal,Kashtira,kashtira-431560
16,17,Guilherme Vital Machado,Mannadium,kashtira-scareclaw-mannadium-431749
17,18,Juan Sebastian Andrade Castro,Rescue-ACE,diabellstar-snake-eye-rescue-ace-430635
18,19,Jonathan Amet Malaga Morales,Spright,melffy-adventurer-spright-431747
19,20,Esteban Velasquez Prieto,Tearlaments,horus-danger-tearlaments-431406
20,21,Jhon David Guerrero Sanchez,Labrynth,unchained-labrynth-430634
21,22,Eduardo Daniel Cortez Moreno,Chimera,branded-chimera-431164
22,23,Alan Omar Roman Villagomez,Superheavy Samurai,runick-superheavy-samurai-430531
23,24,Carlos Andres Perez Padilla,Labrynth,unchained-labrynth-431748
24,25,Victor Andres Pachas Calle,Mannadium,scareclaw-mannadium-430025
25,26,Andrew Giovanni Martinez Pavon,Floowandereeze,floowandereeze-431405
26,27,Rafael Ernesto Ordonez Zazueta,Traptrix,traptrix-431567
27,28,Joao Lucas De Barros Rino,Orcust,bystial-runick-horus-orcust-431601
28,29,Victor Alejandro Rodriguez Pinto,Phantom Knights,horus-adventurer-phantom-knights-431603
29,30,Franco Persano,Rescue-ACE,diabellstar-rescue-ace-431598
30,31,Alejandro Antonio Fuentes Roncagliolo,Labrynth,labrynth-431597
31,32,Fabio De Paula Fornos,Fire King,
