,placement,player,archetype,deck_id,deck_cost
0,1,Carlos Rafael Mejia Guardian,Mitsurugi,ryzeal-mitsurugi-570363,$653.32
1,2,Jhon David Guerrero Sanchez,Ryzeal,fiendsmith-ryzeal-568383,$923.01
2,3,Luciano Jeronimo Bregion,Ryzeal,fiendsmith-ryzeal-569568,$1005.71
3,4,Tomas Dughera,Ryzeal,,
4,5,Luis Alfredo Sierra Villa,Ryzeal,fiendsmith-ryzeal-569574,$935.70
5,6,Oscar Eduardo Espinoza Mendez,Ryzeal,,
6,7,Leonardo Nieto Aguirre,Ryzeal,,
7,8,Omar Alejandro Viveros Luis,Ryzeal,,
8,9,Gerald Solis Alvarez,Stun,dogmatika-stun-568633,$101.73
9,10,Christopher Alvarado De La O,Ryzeal,,
10,11,Sebastian Alonso Serna Samame,Ryzeal,fiendsmith-ryzeal-570364,$896.64
11,12,Carlos Jesus Mercado Ramirez,Ryzeal,,
12,13,Josue Samuel Becerra Duque,Ryzeal,fiendsmith-ryzeal-568381,$835.40
13,14,Gabriele Villanueva Parasi Jr.,Maliss,maliss-573465,$654.13
14,15,Sebastian Muralles Quezada,Maliss,,
15,16,Raul Alfredo Valdez Bulus,Ryzeal,,
16,17,Diego Esteban Martinez Campos,White Forest,fiendsmith-azamina-white-forest-569962,$965.58
17,18,Nestor Adalberto Huanacuni Machaca,Yubel,,
18,19,Paulo Rubim Nepomuceno Da Silva,Ryzeal,,
19,20,Josias Janael Calvache Ramos,Ryzeal,fiendsmith-ryzeal-568382,$807.82
20,21,Paulo Roberto Goncalves,Ryzeal,,
21,22,Franco Persano,Bystial,,
22,23,Joao Vitor Carreira Machado,Ryzeal,fiendsmith-ryzeal-569567,$917.25
23,24,Patrick Hoban,Yubel,fiendsmith-yubel-569525,$765.33
24,25,Lucas Luna Silva,Tenpai Dragon,tenpai-dragon-568463,$151.49
25,26,Alexis Stefano Fabricio Olmedo,Maliss,,
26,27,Carlos Luis Perozo Moreno,Ryzeal,,
27,28,Moisses David Salas Ramones,Maliss,maliss-569959,$596.49
28,29,Angel Arturo Borja Aquino,Ryzeal,,
29,30,Cristopher Bernard Penafiel Ramirez,Ryzeal,,
30,31,Fernando Bryan Gonzales Arias,Mitsurugi,ryzeal-mitsurugi-569577,$767.65
31,32,Renzo Agustin Vasquez Tarrill,Ryzeal,,
