,placement,player,archetype,deck_id,deck_cost
0,1,Paulie Aronson,Kashtira,,
1,2,Steven Santoli,Exosister,exosister-334609,$104.20
2,3,Patrick Hoban,Mannadium,,
3,4,Brian Kalina,Kashtira,,
4,5,Pakawat Parmonsut,Purrely,,
5,6,Ryan Yu,,,
6,7,Elijah Green,,,
7,8,Enzo Fiallos,,,
8,9,Raymond Dai,Sky Striker,,
9,10,Dominic Couch,Kashtira,,
10,11,Jesse Kotton,,,
11,12,Justin S.,,,
12,13,Cameron Neal,,,
13,14,Charley Futch,,,
14,15,Kamal Crooks,,,
15,16,Thomas W.,,,
16,17,Kenny Nguyen,Spright,,
17,18,Edwin S.,,,
18,19,Ramiro Garcia,,,
19,20,John Wilkin,,,
20,21,Shunping Xu,,,
21,22,Dablessin Wilson,,,
22,23,Matthew M.,,,
23,24,Walter Jule,,,
24,25,Blair Hunter,,,
25,26,Brian Chen,,,
26,27,Koty Angeloff,,,
27,28,Cristian Urena,,,
28,29,Samuel Chung,,,
29,30,Hani Jawhari,,,
30,31,Denis Nadas,,,
31,32,Trevor C.,,,
