,placement,player,archetype,deck_id,deck_cost
0,1,Baptiste Derouin,Kashtira,kashtira-330513,$216.75
1,2,Leon Kadrija,Labrynth,,
2,3,Quantal Think,Kashtira,,
3,4,Fabian Ruland,Gold Pride,p-u-n-k-gold-pride-330663,$156.06
4,5,Patrick Hoffman,Kashtira,kashtira-330512,$213.89
5,6,Tristan Hoff,Purrely,,
6,7,Eugene Valdink ,Kashtira,,
7,8,<unknown duelist>,,,
8,9,Coen Cheng,Labrynth,labrynth-330943,$179.19
9,10,Thom Nijenkamp,Kashtira,,
10,11,Dennis Lemmen,Labrynth,,
11,12,SFR,Spright,melffy-spright-330654,$126.91
12,13,<4 unknown Top 16 duelists>,,,
