,placement,player,archetype,deck_id
0,1,Baptiste Derouin,Snake-Eye,
1,2,Raul Sanders,Despia,branded-despia-493429
2,3,Konstantin Ivanov,Snake-Eye,diabellstar-snake-eye-497342
3,4,Alexander Martin,Chimera,chimera-489290
4,5,Nick Devlin,Mannadium,centur-ion-scareclaw-mannadium-487488
5,6,Thom Nijenkamp,Fire King,diabellstar-snake-eye-fire-king-489326
6,7,Kristan Finnies,Despia,branded-despia-488817
7,8,Jack-Rory Steenkamer,Tenpai Dragon,tenpai-dragon-487480
8,9,Harrison Williams,Tearlaments,destiny-bystial-tearlaments-489557
9,10,Emily Kas,Rescue-ACE,diabellstar-rescue-ace-488477
10,11,Tom van den Elzen,Snake-Eye,
11,12,Douwe-Henk Hofman,Swordsoul,tenyi-swordsoul-487486
12,13,Dave Vecht,Snake-Eye,diabellstar-snake-eye-487481
13,14,Sebastiaan Dingemans,Horus,
14,15,Daniel Zwanziger,Tenpai Dragon,
15,16,Erwin Dijkstra,Tenpai Dragon,
