,placement,player,archetype,deck_id
0,1,Peter Mitro,Fire King,diabellstar-snake-eye-fire-king-490982
1,2,Chris N.,Centur-Ion,superheavy-samurai-centur-ion-490605
2,3,Fox Chudleigh,Snake-Eye,diabellstar-snake-eye-494263
3,4,Poe Jiang,Purrely,purrely-491788
4,5,Jonah Singer,Fire King,diabellstar-snake-eye-fire-king-490982
5,6,Kunlun Lei,Fire King,diabellstar-snake-eye-fire-king-490982
6,7,Patrick Remorozo,Tearlaments,
7,8,Weitong L,Phantom Knight,
8,9,Campbell Pederson,Fire King,
9,10,Nambiri,Snake-Eye,
10,11,William Lam,Plant Link,
11,12,Stephen Medhurst,Vanquish Soul,vanquish-soul-494327
12,13,Ryan Cormack,Purrely,
13,14,Kurt Renshaw,Centur-Ion,
14,15,Jianming Liu,Tenpai Dragon,
15,16,Benjamin Browne,Tenpai Dragon,
