,placement,player,archetype,deck_id
0,1,Jeremy Mitchell,Kashtira,kashtira-335207
1,2,Lars Bergquist,Kashtira,kashtira-335211
2,3,Gerardo Varela,Kashtira,blind-second-kashtira-335083
3,4,Enzo Fiallos,Kashtira,kashtira-334947
4,5,Brendan Ryan,Dragon Link,bystial-dragon-link-335101
5,6,Kamal Crooks,Purrely,purrely-334925
6,7,Blake Morrison,Kashtira,kashtira-334789
7,8,Christopher Torres,Kashtira,
8,9,Mitchel Sepulveda,Rikka,therion-sunavalon-rikka-336034
9,10,George Sacco,Fur Hire,runick-spright-fur-hire-334641
10,11,Ian Alexander Torres,Fur Hire,runick-spright-fur-hire-334780
11,12,Michael Sirot,Dragon Link,bystial-dragon-link-335521
12,13,Charley Futch,Dragon Link,bystial-dragon-link-334634
13,14,Roderick Flowers III,Kashtira,kashtira-334607
14,15,Cameron Neal,Kashtira,kashtira-334913
15,16,Ashik Nabit,Kashtira,kashtira-334643
16,17,Daniel Medina,Superheavy Samurai,kashtira-mannadium-superheavy-samurai-334961
17,18,Dennis Rojas,Rikka,therion-sunavalon-rikka-335659
18,19,Jorge Joel Diaz,Spright,
19,20,Ryan McGee,Despia,branded-despia-334916
20,21,Quinton Brown,Mannadium,bystial-mannadium-334645
21,22,Clifton Land II,Despia,branded-despia-335792
22,23,Samuel Desrosiers,Despia,branded-despia-335513
23,24,Emmad Fajem,Spright,sky-striker-spright-334629
24,25,Mitchell Martin,Gold Pride,p-u-n-k-gold-pride-334907
25,26,Jason Garcia,Vanquish Soul,vanquish-soul-334610
26,27,Nathaniel Christmas,HERO,hero-334608
27,28,Pakawat Pamornsut,Purrely,purrely-334790
28,29,Nicholas Ma,Purrely,purrely-334622
29,30,Ryan Yu,Labrynth,labrynth-334926
30,31,Jose Luis Torres,Purrely,purrely-334757
31,32,Brian Chen,Labrynth,labrynth-334751
32,33,Bruce Menard,Fur Hire,runick-spright-fur-hire-334750
33,34,Alexander Frazier,Rikka,therion-sunavalon-rikka-335087
34,35,Sidney Elias,Fur Hire,runick-spright-fur-hire-335212
35,36,Shunping Xu,Tearlaments,shaddoll-kashtira-tearlaments-334744
36,37,Tanner Thompson,Spright,evil-twin-runick-spright-334742
37,38,James Valentino,Rikka,therion-sunavalon-rikka-334640
38,39,Gabriel Braithwaite,Spright,evil-twin-runick-spright-334942
39,40,Johnson Griggs,Fur Hire,
40,41,Chimmey Nguyen,Spright,
41,42,Patrick Hoban,Kashtira,mannadium-scareclaw-kashtira-335204
42,43,Lexus Wingate,Purrely,spright-purrely-334630
43,44,Matthew Walp,Despia,branded-despia-334644
44,45,Michael Thomas,Dragon Link,bystial-dragon-link-334756
45,46,Junior Dorcin,Despia,
46,47,Jesse Hellwig,Kashtira,blind-second-kashtira-334794
47,48,Omar Jones Jr.,Spright,gishki-spright-334611
48,49,Anthony Sidlo,Despia,
49,50,Earl Prentice Jr.,Despia,
50,51,Noah Stima,Kashtira,kashtira-334901
51,52,Liborio Barone,Kashtira,kashtira-334642
52,53,Andrew Hadfield,Gold Pride,gold-pride-334900
53,54,Corey Laumen,Vanquish Soul,
54,55,Dominic Couch,Kashtira,kashtira-334912
55,56,Cristian Urena,Kashtira,
56,57,Edwin Strom IV,Kashtira,kashtira-334741
57,58,Justin Singh,Kashtira,
58,59,Elijah Green,Kashtira,kashtira-334743
59,60,Hector Lopez III,Kashtira,
60,61,Jesse Flores,Kashtira,kashtira-335511
61,62,Jerome Waugh,Purrely,
62,63,Mertjan Ozbek,Kashtira,
63,64,Aidan Carter,Kashtira,
