,placement,player,archetype,deck_id,deck_cost
0,1,Aditya Dharap,Snake-Eye,fiendsmith-snake-eye-512359,$626.14
1,2,Michael Thomas,Snake-Eye,fiendsmith-snake-eye-512360,$609.98
2,3,Marshall Demorest ,Yubel,fiendsmith-yubel-512365,$446.78
3,4,Landon Oliver,Snake-Eye,fiendsmith-snake-eye-512431,$608.13
4,5,Logan Johnson,Snake-Eye,fiendsmith-snake-eye-513611,$618.87
5,6,Mark Solis,Snake-Eye,fiendsmith-snake-eye-512517,$635.37
6,7,Artan Lajqi,Yubel,,
7,8,Brandon Elmore,Tenpai Dragon,tenpai-dragon-512505,$152.36
8,9,Patrick Hoban,Snake-Eye,millennium-fiendsmith-snake-eye-515015,$605.03
9,10,Murat Erginay,Despia,branded-despia-512173,$151.84
10,11,Michael Walters,Yubel,fiendsmith-yubel-512306,$566.17
11,12,Matthew Bauer,Runick,stun-runick-512254,$73.62
12,13,Shane Gunther,Snake-Eye,fiendsmith-snake-eye-512964,$616.71
13,14,Kamal Crooks-Valdez,Snake-Eye,fiendsmith-snake-eye-512504,$615.89
14,15,James Markowitz	,Tenpai Dragon,tenpai-dragon-512509,$137.77
15,16,Landon Pham,Tenpai Dragon,tenpai-dragon-512697,$391.07
16,17,Dominic Couch,Snake-Eye,fiendsmith-snake-eye-512358,$384.03
17,18,Jesse Hellwig,Snake-Eye,fiendsmith-snake-eye-512501,$624.60
18,19,Andre Joseph Mroz,Yubel,fiendsmith-yubel-513150,$667.21
19,20,Tyler Pfeifer,Snake-Eye,,
20,21,Johnny Nguyen,Runick,stun-runick-512493,$81.28
21,22,Sean Michael Kilian,Snake-Eye,fiendsmith-snake-eye-512680,$361.53
22,23,Joseph Chou Jr.,Snake-Eye,fiendsmith-snake-eye-515108,$541.02
23,24,Bar Granite,Snake-Eye,fiendsmith-snake-eye-513102,$343.38
24,25,Jose Santiago Torres,Snake-Eye,fiendsmith-snake-eye-512486,$609.66
25,26,Omar Jones,Snake-Eye,,
26,27,Alexander Glowacki,Tenpai Dragon,,
27,28,Michael Tamez,Labrynth,labrynth-512437,$87.74
28,29,Matthew Sinnadurai,Tenpai Dragon,tenpai-dragon-513155,$364.75
29,30,Joshua McDonald,Ritual Beast,ritual-beast-512865,$129.55
30,31,Howard Davis,Tenpai Dragon,tenpai-dragon-512585,$392.72
31,32,Jonathan Fossella,Tenpai Dragon,tenpai-dragon-512515,$437.96
32,33,Derek Ignacio Hernandez,Tearlaments,destiny-shaddoll-tearlaments-512562,$137.93
33,34,Andrew Wiggins,Snake-Eye,fiendsmith-kashtira-snake-eye-512500,$457.26
34,35,Rachamim Yair Brito,Vanquish Soul,snake-eye-fire-king-vanquish-soul-512543,$198.45
35,36,Ruben Penaranda	,Snake-Eye,fiendsmith-snake-eye-512513,$615.89
36,37,Daniel Nguyen	,Gimmick Puppet,horus-gimmick-puppet-512677,$158.73
37,38,Cole Lambert	,Yubel,fiendsmith-yubel-512637,$451.77
38,39,Lyric Bruner,Yubel,fiendsmith-yubel-512548,$438.76
39,40,Benjamin Tamarkin,Yubel,fiendsmith-yubel-512552,$636.07
40,41,Sergio Vladimir Hernandez,Snake-Eye,fiendsmith-snake-eye-512650,$625.83
41,42,Charley Futch,Snake-Eye,fiendsmith-snake-eye-512487,$615.89
42,43,Anthony Confletti,Snake-Eye,fiendsmith-snake-eye-512732,$395.22
43,44,Edwin Strom,Snake-Eye,fiendsmith-snake-eye-512582,$392.57
44,45,Jonathan Williams,Memento,fiendsmith-memento-512433,$684.13
45,46,Bryan Pham,Yubel,fiendsmith-yubel-512629,$663.84
46,47,Joshua Kirby,Snake-Eye,fiendsmith-snake-eye-513152,$466.18
47,48,Nathan Mills Jr.,Yubel,fiendsmith-yubel-512679,$647.39
48,49,Benito Garcia,Runick,stun-runick-512518,$71.91
49,50,Jesse Simnegar,Snake-Eye,fiendsmith-snake-eye-512622,$392.21
50,51,Enzo Fiallos,Snake-Eye,fiendsmith-snake-eye-513154,$541.02
51,52,Elbert Wu,Snake-Eye,fiendsmith-snake-eye-512682,$619.28
52,53,David Saul Hernandez,Snake-Eye,,
53,54,Austin Shaffer,Snake-Eye,fiendsmith-snake-eye-512172,$629.61
54,55,Logan Shepard,Snake-Eye,fiendsmith-snake-eye-512754,$609.21
55,56,William Candia,Snake-Eye,fiendsmith-snake-eye-512678,$609.33
56,57,Kylar Price,Gimmick Puppet,horus-gimmick-puppet-ftk-512442,$152.36
57,58,Maurice Brantley,Tenpai Dragon,tenpai-dragon-512450,$170.62
58,59,Benjamin Rosen,Tenpai Dragon,tenpai-dragon-512640,$420.06
59,60,Jorje Kosho,Ritual Beast,ritual-beast-512502,$194.54
60,61,Jonathan Krause,Tenpai Dragon,,
61,62,Farukh Bhatti,Tenpai Dragon,tenpai-dragon-512642,$413.28
62,63,Christopher Lauture,Tenpai Dragon,tenpai-dragon-512519,$132.62
63,64,Wyatt Brannock,Tenpai Dragon,tenpai-dragon-512443,$377.15
