,placement,player,archetype,deck_id,deck_cost
0,1,Kunlun Lei,Kashtira,kashtira-333808,$191.74
1,2,Poe Jiang,Purrely,purrely-333695,$118.90
2,3,Shawn Hu,Labrynth,labrynth-333812,$202.99
3,4,Jason Maher,Kashtira,kashtira-334129,$212.11
4,5,Liam DeBono,Kashtira,blind-second-kashtira-334475,$204.43
5,6,Brent Lewis,Spright,melffy-spright-334027,$140.59
6,7,Tom Shi,Kashtira,,
7,8,Brian Hua,Purrely,,
8,9,Yatin Patel,Rikka,,
9,10,Joshua Rodriguez,Spright,melffy-spright-333814,$133.46
10,11,James English,Spright,evil-twin-runick-spright-333835,$104.07
11,12,Cameron Nyhuis,Despia,branded-despia-333908,$140.57
12,13,Braden Turner,Kashtira,,
13,14,Campbell Pedersen,Spright,evil-twin-runick-spright-333817,$88.22
14,15,Jordan Joyce,Labrynth,labrynth-334110,$154.30
15,16,Chase Sun,Kashtira,,
16,17,William Lam,Rikka,,
17,18,Henry Lai,Fur Hire,runick-spright-fur-hire-334114,$113.92
18,19,Jack Hargreaves,Fur Hire,runick-spright-fur-hire-333911,$79.11
19,20,Jason Huang,Dragon Link,bystial-dragon-link-333909,$264.26
20,21,Jonah Singer,Purrely,purrely-333695,$118.90
21,22,Reiner de Leon,Labrynth,labrynth-334031,$141.16
22,23,Levi Krisko,Purrely,purrely-333695,$118.90
23,24,Daniel Peck,Labrynth,labrynth-334374,$145.73
24,25,Daniel Guo,Spright,,
25,26,Jacob Gilham,Fur Hire,,
26,27,Ethan Prestipino,Rikka,,
27,28,Dino Spasovski,Mannadium,scareclaw-mannadium-333834,$137.21
28,29,Joshua Ng,Dragon Link,bystial-dragon-link-334798,$219.11
29,30,Joseph Massih,Despia,,
30,31,Bruce Cable,Labrynth,,
31,32,Christopher Gong,Kashtira,,
