,placement,player,archetype,deck_id
0,1,Kostadin Kasabov,Snake-Eye,
1,2,António Pereira,Snake-Eye,diabellstar-kashtira-snake-eye-494333
2,3,Jefferson Douglas,Snake-Eye,diabellstar-snake-eye-493779
3,4,Matheus Paulino De Souza,Tenpai Dragon,tenpai-dragon-493727
4,5,Henrique Guerreiro,Stun,branded-dogmatika-stun-493728
5,6,Guilherme Gomes,Dragon Link,bystial-dragunity-tenpai-dragon-link-493595
6,7,João Neves,Snake-Eye,diabellstar-snake-eye-493781
7,8,Victor Gallois-Wong,Snake-Eye,
8,9,Simao Santos,Snake-Eye,diabellstar-kashtira-snake-eye-494188
9,10,Joao Cesar,Despia,branded-despia-497343
10,11,Rafael Pipio,Mannadium,
11,12,Bernardo Gonçalves,Snake-Eye,
12,13,Martim Morais,Floowandereeze,floowandereeze-494006
13,14,Nuno Frade,Snake-Eye,
14,15,Hugo Campos,Tenpai Dragon,
15,16,David Ferreira,Voiceless Voice,
