,placement,player,archetype,deck_id
0,1,Federico Marmeggi,Salamangreat,salamangreat-494472
1,2,Gabriel Nill,Tenpai Dragon,tenpai-dragon-502902
2,3,Anže Čampelj,Snake-Eye,diabellstar-kashtira-snake-eye-494328
3,4,Franceso Maggio,Snake-Eye,diabellstar-kashtira-snake-eye-496204
4,5,Simone Candotto,Plant Link,ragnaraika-plant-link-494563
5,6,Blaz Gajsek,Unchained,unchained-498243
6,7,Alen Bizjak,Tenpai Dragon,
7,8,Gabriel Unterwaditzer,Kashtira,
8,9,Leon Perko,Fire King,
9,10,Renato Smijulj,Snake-Eye,
10,11,Mateusz Mikulski,Snake-Eye,
11,12,Timotej Cesar,Despia,
12,13,Manuel Scharfegger,Marincess,
13,14,Rok Milenkovic,Tenpai Dragon,
14,15,Nejc Zugelj,Marincess,
15,16,Andraz Tergusek,Tenpai Dragon,
