,placement,player,archetype,deck_id,deck_cost
0,1,Andres David T.,Drytron,drytron-199431,$163.12
1,2,<unknown duelist>,,,
2,3,Nicolas Gonzalo G.,Tri-Brigade,tri-brigade-199435,$76.62
3,4,Victor Glauber S.,Prank-Kids,prank-kids-199440,$73.75
4,5,Alan Marcelo R.,Drytron,drytron-nekroz-199474,$106.43
5,6,Raphael C.,Tri-Brigade,tri-brigade-199470,$60.17
6,7,<2 unknown Top 8 duelists>,,,
7,8, Andrew Fernando Huanacuni,Shaddoll,dogmatika-invoked-shaddoll-199482,$74.53
8,9,Jhonatan Calizaya,Invoked,invoked-dogmatika-199478,$98.38
9,10,Lucas Bra Sp. S,Prank-Kids,prank-kids-199486,$97.79
10,11,Jonathan Javier R.,Prank-Kids,prank-kids-199490,$59.07
11,12,Rafael Mariano Reich,Prank-Kids,prank-kids-199494,$69.04
12,13,<3 unknown Top 16 duelists>,,,
