,placement,player,archetype,deck_id
0,1,Santiago Marin,Kashtira,kashtira-333395
1,2,Andreé Chavez Curioso,Floowandereeze,floowandereeze-333088
2,3,Pablo Cesar Dominguez,Kashtira,kashtira-333672
3,4,Marco Antonio Lopez,,
4,5,Cezar Victor Lopez,Vanquish Soul,vanquish-soul-333675
5,6,Renato Ricardo Sarmiento ,,
6,7,Alvaro Fernando Soberon,,
7,8,Juan Mateo Renteria,,
8,9,Pedro Dratwa,Spright,evil-twin-melffy-spright-333163
9,10,Alonso Molina Effio,Spright,melffy-adventurer-spright-333406
10,11,Rogger Antonio Vera,Spright,evil-twin-runick-spright-333609
11,12,Jonathan Gabriel Rivas,Swordsoul,tenyi-swordsoul-333474
12,13,Felipe Urias Moreira,Vanquish Soul,labrynth-vanquish-soul-333170
13,14,Michel Verissimo Da Silva,Vanquish Soul,vanquish-soul-333675
14,15,Fernando Andres Ballen,Labrynth,labrynth-333159
15,16,Anthony Alexander Ramirez,,
16,17,Giancarlo Jesus Aguero,Mathmech,spirit-mathmech-333167
17,18,Andres David Torres,Despia,branded-despia-333169
18,19,Hector Lorenzo Perez,Kashtira,blind-second-kashtira-333399
19,20,Jean Michelle Mellet,Despia,branded-despia-333394
20,21,Adrian Gregory George,Vanquish Soul,vanquish-soul-333555
21,22,Josue Samuel Becerra,,
22,23,Joaquin Alfonso Lichtig,,
23,24,Wilfredo Teofilo Inquil,,
24,25,Johann Ronaldo Campos,,
25,26,Joset Ferney Rojas,,
26,27,Andres Alejandro Azocar,,
27,28,Marcos Jefferson Cabeza,,
28,29,Angel Adrian Carrillo,,
29,30,Ciro Rafael Lazo,,
30,31,Felipe Bisserier,,
31,32,Victor Andres Pachas,,
32,33,Max Enrique Toledo,Spright,synchro-melffy-adventurer-spright-333405
33,34,Eric de Jesus Lima,Kashtira,kashtira-333151
34,35,Diego Jesus Letelier,Spright,evil-twin-runick-spright-333609
35,36,Alejandro Andres Encalada,Despia,branded-despia-333162
36,37,David Campoblanco,Mathmech,firewall-mathmech-333166
37,38,Luis Alejandro Prieto,Vanquish Soul,enforcer-vanquish-soul-333400
38,39,Sergio Antonio Valverde,Vanquish Soul,vanquish-soul-333479
39,40,Leonel Ignacio Caceres,,
40,41,Tomas Dughera,,
41,42,Gabriel Andres Hernandez,,
42,43,Paulo Roberto Goncalvez,,
43,44,Jhon David Guerrero,,
44,45,Alex Arturo Salas,,
45,46,Gary Deneb Barahona,,
46,47,Sanjay Atmaram Manoo,,
47,48,Nicolas Miguel Vera,,
48,49,Sebastian Ignacio Siegel,,
49,50,Enrique Alonso Gonzales,,
50,51,Felix Gabriel Parra,,
51,52,Jose Xavier Parra,,
52,53,Manuel Felipe Buritica,,
53,54,Cristopher Bernard Penafiel,,
54,55,Santiago Andres Anaya,,
55,56,Paola Carolina Seekatz,,
56,57,Andree Aaron Orbea,,
57,58,Santiago Naim Sanchez,,
58,59,Tomaz Gutsch Zobaran,,
59,60,Jose Antonio Castillo,,
60,61,Ian Paul Mendoza,,
61,62,Andre Alberto Arellano,,
62,63,Erick Ivan Fiallos,,
63,64,Pedro Henrique Nogueira,,
