,placement,player,archetype,deck_id,deck_cost
0,1,Antonio Torres,Spright,evil-twin-spright-329439,$155.44
1,2,Sergio Arranz,Spright,spright-tri-brigade-329969,$121.65
2,3,Gerogi Danev,Kashtira,kashtira-329129,$217.07
3,4,Daniel Navarro Lopez,Superheavy Samurai,superheavy-samurai-329446,$77.07
4,5,Cristo Gonzales,Despia,branded-despia-330215,$107.78
5,6,J.V. Rodriguez,Purrely,purrely-329449,$103.90
6,7,Julio Valls,Mathmech,mathmech-328980,$75.61
7,8,Juan Arroyo,Kashtira,,
8,9,Juan Manuel Nuet,Spright,melffy-spright-329130,$129.55
9,10,Ruben Lima,Virtual World,,
10,11,Pablo Jose Herrera,Labrynth,labrynth-330532,$135.23
11,12,Bruno Pino,Mathmech,,
12,13,Alberto Hilario,Purrely,purrely-329449,$103.90
13,14,Arturo Bonilla,Superheavy Samurai,,
14,15,Yan Yang,Purrely,shaddoll-dark-world-purrely-331060,$95.57
15,16,Dezhi Yang,Despia,,
