,placement,player,archetype,deck_id
0,1,Ruben Lima,Virtual World,virtual-world-494896
1,2,Sergio Garcia,Melodious,melodious-494894
2,3,Georgi Danev,Tearlaments,shaddoll-horus-tearlaments-495896
3,4,Adonay Gonzalez,Tenpai Dragon,tenpai-dragon-496195
4,5,Daniel Gutierrez,Snake-Eye,
5,6,Jose Maria Garcia,Stun,dogmatika-stun-494716
6,7,Pablo Vaquero,Tenpai Dragon,sky-striker-tenpai-dragon-494336
7,8,<unknown duelist>,Tenpai Dragon,
8,9,Mel Faci,Plant Link,ragnaraika-plant-link-495894
9,10,Oscar Pastor,Drytron,
10,11,David Lara Gonzalez,Tenpai Dragon,tenpai-dragon-494011
11,12,<unknown duelist>,Fire King,
12,13,<unknown duelist>,Snake-Eye,
13,14,<unknown duelist>,Snake-Eye,
14,15,<unknown duelist>,Kashtira,
15,16,<unknown duelist>,Tenpai Dragon,
