,placement,player,archetype,deck_id
0,1,Jeremy Bays,Labrynth,labrynth-328163
1,2,Kevin Züger,Kashtira,
2,3,Timoti Baggio,Purrely,purrely-328390
3,4,Fausto Conti,Superheavy Samurai,
4,5,Elvis Balic,Rikka,therion-sunavalon-rikka-328177
5,6,Colin Heim,Mathmech,mathmech-328165
6,7,Firat Karatas,Kashtira,kashtira-329417
7,8,Ricardo Girgenti,Kashtira,kashtira-328166
8,9,Simon Tschan,Eldlich,eldlich-328083
9,10,Luca Campaci,Superheavy Samurai,superheavy-samurai-328268
10,11,Antonio Granato,Superheavy Samurai,superheavy-samurai-328268
11,12,Stefano Corno,Kashtira,kashtira-328394
12,13,Emily Hilf Carozzini,Rikka,sunavalon-rikka-328178
13,14,Michael Punzi,Purrely,dark-world-purrely-328514
14,15,Nicolas Givaudan,Kashtira,kashtira-328395
15,16,Adrian Bienasz,Superheavy Samurai,superheavy-samurai-328431
