,placement,player,archetype,deck_id
0,1,,,
1,2,Hector Lorenzo Perez Herrera,,
2,3,Michel Verissimo Da Silva Luiz,,
3,4,Paulo Roberto Goncalves da Silva,Sky Striker,sky-striker-paulo-goncalves-40095
4,5,,,
5,6,Aaron Chase Furman,,
6,7,Esala Sammidha de Alwis Wathuthantrige,,
7,8,Jesse Kotton,,
8,9,,,
9,10,Dakota Angeloff,,
10,11,Ed Elton Devera Acepcion,,
11,12,Manav Dawar,,
12,13,,,
13,14,Andres Torres,,
14,15,Arnold Nadaban Zanabria,,
15,16,Galileo Mauricio De Obaldia Soza,,
16,17,,,
17,18,Dennis Pham-Le,,
18,19,Jonathan D. CA Rosario,,
19,20,Jovanny Velsain Castillo,,
20,21,,,
21,22,Cameron Taylor Neal,,
22,23,Cristian Rafael Urena,,
23,24,Hani Yasser Jawhari,,
24,25,,,
25,26,Brandon Scott Sevitz,,
26,27,Jongwon John Lee,,
27,28,Ottis Brent Alexander Winters,,
28,29,,,
29,30,Azad Deihim,,
30,31,Benjamin Michael Wyman,,
31,32,Blake Antonio Funderburke,,
32,33,,,
33,34,Joshua Oosters,,
34,35,Luke Joseph Parkes,,
35,36,Raphael Neven,,
36,37,,,
37,38,Bohdan John Temnyk,,
38,39,Jeffrey Michael Alexander Jones,,
39,40,Maximillian John Edward Reynolds,,
40,41,,,
41,42,Errikos Georgios Bek,,
42,43,Jake Paul Quinsee,,
43,44,Robin Lucas Bachofner,,
44,45,,,
45,46, Jonathan Ljungman,,
46,47,Herman Hansson,,
47,48,Simon NJ Wang,,
48,49,,,
49,50,Brian William Stone,,
50,51,Justin Chase Russell,,
51,52,Michael Casey Barbee,,
52,53,,,
53,54,Anthony Nicholas Confletti,,
54,55,Bruce Landon Kendrick,,
55,56,Kristin Alexandra Soler,,
56,57,,,
57,58,James Paul Rutherford III,,
58,59,Jeremy Taeron Mitchell,,
59,60,Jesse Lee Rutherford,,
60,61,,,
61,62,Braedon Dale Hooker,,
62,63,Gabriel Adib El-Allie,,
63,64,Thanh Cong Nguyen,,
