,placement,player,archetype,deck_id
0,1,,,
1,2,Christopher LeBlanc,Fire King,diabellstar-snake-eye-fire-king-446113
2,3,Hani Yasser Jawhari,Fire King,diabellstar-snake-eye-fire-king-446114
3,4,Hisam Yasser Jawhari	,Snake-Eye,diabellstar-snake-eye-446015
4,5,,,
5,6,Hansel Aguero,Snake-Eye,diabellstar-snake-eye-446394
6,7,Ittipat Arunnaveesiri,Snake-Eye,diabellstar-snake-eye-446394
7,8,Pakawat Pamornsut,Snake-Eye,diabellstar-snake-eye-446394
8,9,,,
9,10,Gary Sanchez,Fire King,diabellstar-snake-eye-fire-king-447364
10,11,Levi Dudley,Fire King,diabellstar-snake-eye-fire-king-448272
11,12,Rashad Jones,Fire King,diabellstar-snake-eye-fire-king-447362
12,13,,,
13,14,Gabriel Netz,Snake-Eye,diabellstar-snake-eye-446538
14,15,Michel Verissimo Da Silva Luiz,Voiceless Voice,voiceless-voice-448988
15,16,Paulo Goncalves da Silva,Snake-Eye,diabellstar-snake-eye-446580
16,17,,,
17,18,Cameron Neal,Snake-Eye,diabellstar-snake-eye-446547
18,19,Cristian Urena,Snake-Eye,diabellstar-snake-eye-446547
19,20,Walter Jule,Snake-Eye,diabellstar-snake-eye-446547
20,21,,,
21,22,Blake Taylor,Voiceless Voice,dogmatika-voiceless-voice-446088
22,23,Corey Nance,Voiceless Voice,voiceless-voice-446089
23,24,James Valentino,Voiceless Voice,voiceless-voice-446090
24,25,,,
25,26,Jose Santiago Torres,Fire King,diabellstar-snake-eye-fire-king-447219
26,27,Kamal Crooks-Valdez,Snake-Eye,diabellstar-snake-eye-446327
27,28,Ruben Penaranda,Snake-Eye,diabellstar-snake-eye-446328
28,29,,,
29,30,Chancellor Lon Anthony Mezzaroba,Rescue-ACE,diabellstar-snake-eye-rescue-ace-446102
30,31,Jarred Randolph,Floowandereeze,floowandereeze-446105
31,32,Tyler Bendel,Voiceless Voice,voiceless-voice-446097
32,33,,,
33,34,Cole Murphy,Fire King,diabellstar-snake-eye-fire-king-446335
34,35,Matthew Bauer,Fire King,diabellstar-snake-eye-fire-king-446245
35,36,Minsu Park,Purrely,purrely-445857
36,37,,,
37,38,Daniel Shogan,Fire King,diabellstar-snake-eye-fire-king-449591
38,39,Logan Shepard,Fire King,diabellstar-snake-eye-fire-king-446251
39,40,Tej Amin,Fire King,diabellstar-snake-eye-fire-king-446585
40,41,,,
41,42,Khai Nguyen,Fire King,diabellstar-snake-eye-fire-king-445851
42,43,Michael Tamez,Snake-Eye,diabellstar-snake-eye-446249
43,44,Zachary Rodriguez,Fire King,diabellstar-snake-eye-fire-king-445849
44,45,,,
45,46,Alexander Juneja,Fire King,diabellstar-snake-eye-fire-king-446553
46,47,Andrei Ativo,Fire King,diabellstar-snake-eye-fire-king-449092
47,48,Steve Hernandez,Fire King,diabellstar-snake-eye-fire-king-448987
48,49,,,
49,50,Jeffrey Jones,Fire King,diabellstar-snake-eye-fire-king-446642
50,51,Maximilian Reynolds,Fire King,diabellstar-snake-eye-fire-king-446642
51,52,Vladis Baranovskis,Fire King,diabellstar-snake-eye-fire-king-446641
52,53,,,
53,54,Anthony Eckroth,Fire King,diabellstar-snake-eye-fire-king-446535
54,55,Calvin Chow,Fire King,diabellstar-snake-eye-fire-king-446133
55,56,Chancy Wigglestove,Fire King,diabellstar-snake-eye-fire-king-446534
56,57,,,
57,58,David Flores,Fire King,diabellstar-snake-eye-fire-king-446544
58,59,Joo-Ho Ahn,Snake-Eye,diabellstar-snake-eye-446660
59,60,Luka Forjan,Snake-Eye,diabellstar-snake-eye-446660
60,61,,,
61,62,Adrian Gonzalez,Snake-Eye,diabellstar-snake-eye-446313
62,63,Alexander Hamamoto,Snake-Eye,diabellstar-snake-eye-449052
63,64,Santiago Gonzalez,Fire King,diabellstar-snake-eye-fire-king-446314
