,placement,player,archetype,deck_id,deck_cost
0,1,,,,
1,2,Arnold Nadaban,Tearlaments,,
2,3,Cristian Urena,Tearlaments,ishizu-tearlaments-318783,$89.72
3,4,Walter Jule,Tearlaments,,
4,5,,,,
5,6,Bryan Salvador Mar Berumen,,,
6,7,Eli Cerdan Flores,,,
7,8,Erick Laurentino Ramirez Rodriguez,,,
8,9,,,,
9,10,Bohdan John Temnyk,,,
10,11,Jeffrey Michael Alexander Jones,Kashtira,kashtira-318657,$222.88
11,12,Ryan Arthur Levine,Kashtira,kashtira-318657,$222.88
12,13,,,,
13,14,Joset Ferney Rojas Vargas,,,
14,15,Marco Antonio Lopez Uribe,,,
15,16,Santiago Marin Lopez,,,
16,17,,,,
17,18,Angel Ibarra Barcenas,,,
18,19,Erick Villanueva Priego,,,
19,20,Luis Alfredo Sierra Villa,,,
20,21,,,,
21,22,Adrian Madriz Espinoza,Kashtira,,
22,23,Luis Christian Villalpando Chavez,Tearlaments,,
23,24,Ricardo Ruiz Mendoza,Tearlaments,,
24,25,,,,
25,26,Alan Omar Roman Villagomez,,,
26,27,Alejandro Garcia Moreno,,,
27,28,Jose Carlo Carrillo Toscano,,,
28,29,,,,
29,30,Guillermo Benjamin Morales Ramirez,,,
30,31,Jonhathan Sebastian Vazquez Herrera,,,
31,32,Jose Alberto Saltillo Gachuz,,,
32,33,,,,
33,34,Andy Ivan Virgen Ortega,,,
34,35,Carlos Alberto Cayeros Torres,,,
35,36,Jonathan Xavier Garcia Reyna,,,
36,37,,,,
37,38,Jonathan Fernando Gallegos Villalobos,,,
38,39,Jose Isaac Cuellar Martin,,,
39,40,Luis Armando Gonzalez Cruz,,,
40,41,,,,
41,42,Abraham Roger Guzman Garcia,,,
42,43,Francisco Enrique Juarez Garcia,,,
43,44,Luis Angel Penaflores Ortega,,,
44,45,,,,
45,46,Alexis Saul De Jesus Romero,,,
46,47,Jose Oskar Flores Cuevas,,,
47,48,Roger Alberto Cruz del Saz,,,
48,49,,,,
49,50,Gonzalo Xiaver Fernandez Salgado,,,
50,51,Jonathan Amet Malaga Morales,,,
51,52,Key Andree Chavez Curioso,,,
52,53,,,,
53,54,Antonio de Jesus Ramirez Gonzalez,,,
54,55,Cesar Omar Perez Morales,,,
55,56,Leonardo Alcantara Sierra,,,
56,57,,,,
57,58,Dominic Eduardo Couch,,,
58,59,Hansel Erik Aguero,,,
59,60,Stephen Joseph Silverman,,,
60,61,,,,
61,62,Hector Carlos Delgado Chavarry,,,
62,63,Juan Renan Rodriguez Tejada,,,
63,64,Santino Delgado Chavarry,,,
