,placement,player,archetype,deck_id,deck_cost
0,1,,,,
1,2,Felipe Bisserier Zapata,Yubel,fiendsmith-yubel-532985,$692.02
2,3,Taiel Fernandez,Yubel,fiendsmith-yubel-532984,$685.36
3,4,Tomas Dughera,Yubel,fiendsmith-yubel-532983,$698.67
4,5,,,,
5,6,Anthony Alexander Ramirez Medina,Snake-Eye,fiendsmith-kashtira-snake-eye-532969,$701.06
6,7,Gerardo Jesus Delgado Portilla,Tenpai Dragon,tenpai-dragon-532974,$378.57
7,8,Santiago Andres Anaya Bermudez,Tenpai Dragon,tenpai-dragon-532970,$378.57
8,9,,,,
9,10,Chris Javier Aguilar Arellano,Voiceless Voice,dogmatika-voiceless-voice-533159,$288.25
10,11,Cristian Raul Cortes,Tenpai Dragon,,
11,12,Jose Ignacio Bustamante,Snake-Eye,fiendsmith-kashtira-snake-eye-532975,$738.41
12,13,,,,
13,14,Francisco Andres Osorio Bobadilla,Yubel,,
14,15,Jefferson Aaron Varas Cruces,Yubel,,
15,16,Jose Antonio Castillo Aramundiz,Yubel,,
16,17,,,,
17,18,David Flores,Yubel,millennium-fiendsmith-yubel-534911,$729.18
18,19,Ed Elton Acepcion,Ritual Beast,ritual-beast-533919,$424.64
19,20,James Markowitz,Tenpai Dragon,tenpai-dragon-532851,$129.18
20,21,,,,
21,22,Pedro Henrique Nogueira,Snake-Eye,fiendsmith-kashtira-snake-eye-532355,$703.76
22,23,Rafael Mariano Reich,Snake-Eye,fiendsmith-kashtira-snake-eye-532353,$706.01
23,24,Santiago Marin Lopez,Snake-Eye,fiendsmith-kashtira-snake-eye-532353,$706.01
24,25,,,,
25,26,Axel Martin Nash Barria,Tenpai Dragon,tenpai-dragon-533915,$226.59
26,27,Jhosep Miguel Lomelli,Yubel,fiendsmith-yubel-532595,$692.56
27,28,Luis Enrique Torres Davila,Yubel,fiendsmith-yubel-534133,$674.38
28,29,,,,
29,30,Andres Alejandro Azocar Salinas 	,Yubel,,
30,31,Anko Ignacio Gonzalez Zambrano,White Forest,runick-white-forest-532680,$166.07
31,32,Jose Tomas Mallea Velasquez,Tenpai Dragon,tenpai-dragon-532976,$386.92
32,33,,,,
33,34,Joaquin Pojaghi,Unchained,fiendsmith-unchained-532977,$369.57
34,35,Jorge Alejandro Valverde 	,Yubel,fiendsmith-yubel-532981,$669.05
35,36,Santiago Miguel Bolla,White Forest,bystial-runick-white-forest-532979,$255.78
36,37,,,,
37,38,Joao Vitor Hahn Laux,Yubel,,
38,39,Leonardo Sanches Ceccom,White Forest,,
39,40,Leonardo Silva dos Santos,Yubel,,
40,41,,,,
41,42,Eric de Jesus Lima,Snake-Eye,fiendsmith-kashtira-snake-eye-532262,$744.21
42,43,Mateus Moreno Fernandes,Snake-Eye,fiendsmith-kashtira-snake-eye-532262,$744.21
43,44,Raphael Carlos Rosa Pereira,Snake-Eye,fiendsmith-kashtira-snake-eye-532262,$744.21
44,45,,,,
45,46,Brian Nicolas Caceres,Yubel,fiendsmith-yubel-533918,$678.82
46,47,Joaquin Lichtig Alfonso,Yubel,,
47,48,Nicolas Agustin Zaccari,Yubel,,
48,49,,,,
49,50,Jesus Marcelo Nava Flores,Yubel,,
50,51,Luis Manuel Valdivieso Bustamante,Yubel,,
51,52,Sebastian Alonso Serna Semame,Tenpai Dragon,,
52,53,,,,
53,54,Johan de Castilho Hallack,Yubel,fiendsmith-yubel-532853,$430.84
54,55,Leonardo Pustilnik Vieira Martins,Tenpai Dragon,tenpai-dragon-532622,$372.01
55,56,Pedro Dratwa Mutzenbecher,Fire King,,
56,57,,,,
57,58,Alvaro Matias Asenjo Barrientos,Tenpai Dragon,kashtira-tenpai-dragon-533151,$172.46
58,59,Jorge Aurelio Dutzan Roncoroni,Tenpai Dragon,kashtira-tenpai-dragon-533152,$183.42
59,60,Sebastian Agustin Verdugo Arcos,Runick,stun-runick-533155,$67.12
60,61,,,,
61,62,Jose Luis Romero Sanchez,Tenpai Dragon,tenpai-dragon-532266,$385.92
62,63,Marcos Antonio Caceres Gajardo,Tenpai Dragon,tenpai-dragon-532268,$149.86
63,64,Roger Adrian Cuevas Medina,Yubel,,
