,placement,player,archetype,deck_id,deck_cost
0,1,,,,
1,2,Kamal Crooks,Purrely,purrely-350828,$187.64
2,3,Pakawat Pamornsut ,Unchained,unchained-350831,$125.90
3,4,Ruben Penaranda ,Dragon Link,bystial-dragon-link-350765,$205.87
4,5,,,,
5,6,Cesar Salinas,Vanquish Soul,superheavy-samurai-vanquish-soul-351073,$193.53
6,7,Jose Carrillo Toscano ,Purrely,purrely-360322,$129.24
7,8,Victor Figueroa Sanchez ,Labrynth,,
8,9,,,,
9,10,Cristian Urena,Unchained,,
10,11,Jesse Kotton ,Unchained,unchained-350835,$108.50
11,12,Walter Jule,Unchained,,
12,13,,,,
13,14,Denis Nadas,Kashtira,,
14,15,Grabiel Molina,Unchained,unchained-350841,$193.49
15,16,Patrick Hoban,Unchained,unchained-350840,$199.91
16,17,,,,
17,18,Joaquin Pojaghi,Unchained,kaiju-unchained-350545,$78.90
18,19,Jorge Valverde ,Kashtira,kashtira-350547,$184.33
19,20,Santiago Bolla,Fur Hire,runick-spright-fur-hire-350546,$107.50
20,21,,,,
21,22,Gustavo Ferreira ,Spright,melffy-spright-350688,$157.41
22,23,Jheison Silva Almeida ,Chimera,branded-chimera-350687,$78.78
23,24,Sergio Martins Gomes ,Labrynth,unchained-labrynth-350685,$162.43
24,25,,,,
25,26,Hugo Ramos Filho,Mannadium,scareclaw-mannadium-350708,$113.65
26,27,Icaro do Nascimento Silva ,Dragon Link,bystial-dragon-link-350709,$201.70
27,28,Lucas Santos Daltro ,Unchained,kaiju-unchained-350710,$89.97
28,29,,,,
29,30,Gabriel Dambros Benakouche,Purrely,blind-second-purrely-362994,$164.07
30,31,Michel Da Silva,Chimera,,
31,32,Paulo Roberto Goncalves da Silva,Kashtira,,
32,33,,,,
33,34,Cezar Coscia,Vanquish Soul,,
34,35,Hector Perez,Rescue-ACE,rescue-ace-350672,$76.07
35,36,Jhon Guerrero,Chimera,branded-chimera-350673,$145.53
36,37,,,,
37,38,Gustavo Ribeiro Dos Santos,Rikka,therion-sunavalon-rikka-350858,$105.44
38,39,Matheus Kirian,Infernoble Knight,infernoble-knight-350868,$85.84
39,40,Theo Tavares,Unchained,unchained-350855,$94.89
40,41,,,,
41,42,Matheus Oenning da Silva,Kashtira,kashtira-351089,$199.37
42,43,Paulo Rubim da Silva,Kashtira,kashtira-351090,$207.73
43,44,Victor Lopes Silva,Kashtira,kashtira-351088,$207.49
44,45,,,,
45,46,Arthur Eidelwein,Kashtira,,
46,47,Leonardo Silva dos Santos,Kashtira,kashtira-357709,$210.10
47,48,Marcelo Diesel da Rosa,Kashtira,kashtira-357709,$210.10
48,49,,,,
49,50,Felipe Moreira da Silva,Marincess,,
50,51,Leonardo Vieira Martins,Kashtira,raidraptor-kashtira-360320,$193.98
51,52,Pedro Dratwa Mutzenbruher,Marincess,marincess-351080,$77.74
52,53,,,,
53,54,Diego Henrique,Kashtira,,
54,55,Joao Lima,Kashtira,,
55,56,Rafael Jose Rodrigues,Kashtira,,
56,57,,,,
57,58,Joao Duarte,Chimera,branded-chimera-351084,$156.38
58,59,Lucas Simao da Silva,Purrely,purrely-360155,$127.14
59,60,Vitor Koerner,Kashtira,,
60,61,,,,
61,62,Jose Castillo,Kashtira,,
62,63,Taiel Fernandez,Kashtira,,
63,64,Tomas Dughera,Mathmech,,
