,placement,player,archetype,deck_id,deck_cost
0,1,,,,
1,2,Alexander Cancell,Kashtira,kashtira-319438,$216.88
2,3,Dominic Couch,Kashtira,kashtira-319438,$216.88
3,4,Stephen Silverman,Kashtira,kashtira-319439,$208.56
4,5,,,,
5,6,Charley Ray Futch III,Branded,branded-despia-319157,$74.22
6,7,John Wilkin,Branded,branded-despia-319156,$74.22
7,8,Ryan Yu,Labrynth,labrynth-319159,$84.83
8,9,,,,
9,10,Adrian Gonzalez,Spright,evil-twin-spright-319349,$135.65
10,11,Mohammed Faisal Khan,Kashtira,kashtira-319905,$230.68
11,12,Santiago Gonzalez,Kashtira,kashtira-319355,$228.70
12,13,,,,
13,14,Chester Henson,Branded,bystial-branded-despia-319357,$129.98
14,15,Elijah Green,Kashtira,kashtira-319295,$195.64
15,16,Michael Gold Jr.,Swordsoul,tenyi-swordsoul-319298,$107.41
16,17,,,,
17,18,Alexander Berg,Kashtira,,
18,19,Matthew Rivera,Branded,bystial-branded-despia-319370,$141.47
19,20,Steve Enrique Hernandez,Kashtira,,
20,21,,,,
21,22,Anderson Ga Jun Tsang,Branded,branded-despia-319166,$83.80
22,23,Herman Hansson,Labrynth,labrynth-319262,$72.98
23,24,Luka Forjan,Branded,blind-second-branded-despia-319263,$72.21
24,25,,,,
25,26,Cameron Neal,Labrynth,labrynth-319360,$87.59
26,27,Caulin Bradshaw,Labrynth,labrynth-319360,$87.59
27,28,Ramiro Garcia,Kashtira,kashtira-319265,$201.10
28,29,,,,
29,30,Anthony Levon King,Kashtira,kashtira-319249,$222.67
30,31,Brenden Beckmann,Kashtira,kashtira-319248,$225.62
31,32,Kyle Derek Botelho,Branded,bystial-branded-despia-319250,$116.35
32,33,,,,
33,34, Zachary Anthony Rodriguez ,Spright,kashtira-spright-319266,$208.86
34,35,Andrew Lara,Spright,kashtira-spright-319266,$208.86
35,36,Hector Orellana,Spright,kashtira-spright-319266,$208.86
36,37,,,,
37,38,Steffen Eichelberger,Runick,runick-319286,$39.51
38,39,Tom Kleinegriber,Kashtira,kashtira-319271,$188.38
39,40,Tri Tai Nguyen,Kashtira,kashtira-319271,$188.38
40,41,,,,
41,42,Bohdan Temnyk,Kashtira,kashtira-319124,$195.95
42,43,Nishaad Lorengo,Kashtira,kashtira-319124,$195.95
43,44,Ryan Levine,Kashtira,kashtira-319124,$195.95
44,45,,,,
45,46,Alexander James Flanagan,Kashtira,blind-second-kashtira-319287,$226.82
46,47,Theodore Patrick Boyle Heimann,Kashtira,blind-second-kashtira-319287,$226.82
47,48,Timothy Conner Merritt,Kashtira,blind-second-kashtira-319287,$226.82
48,49,,,,
49,50,Dakota Clint Angeloff,Naturia,runick-naturia-319176,$72.89
50,51,Pakawat Pamornsut,Naturia,runick-naturia-319176,$72.89
51,52,Shunping Xu,Kashtira,adventurer-kashtira-319137,$182.55
52,53,,,,
53,54,Matthew Ellis,Branded,bystial-branded-despia-319906,$91.91
54,55,Shannon Long,Marincess,marincess-319259,$92.91
55,56,Wesley McAllister,Branded,bystial-branded-despia-319260,$96.89
56,57,,,,
57,58,Ali Hadi Al-Ziyadi,Kashtira,adventurer-kashtira-319253,$230.41
58,59,Antonio Kyle Lewis,Kashtira,adventurer-kashtira-319252,$230.18
59,60,Khoa Van Phan,Branded,bystial-branded-despia-319254,$73.08
60,61,,,,
61,62,Brian Chen,Labrynth,labrynth-319163,$84.83
62,63,Calvin Chow,Labrynth,labyrinth-319164,$84.83
63,64,Kenny Huy Nguyen,Spright,runick-spright-319290,$127.28
