,placement,player,archetype,deck_id,deck_cost
0,1,Ajay Sieunarine,Kashtira,kashtira-330960,$203.91
1,2,Aaron Gopaul,Kashtira,kashtira-330961,$210.34
2,3,Bryan Laurence Fuentes,Marincess,deep-sea-marincess-330962,$47.48
3,4,Atmaram Sanjay Manoo,Superheavy Samurai,superheavy-samurai-330966,$155.85
4,5,Darrien Jones,Kashtira,kashtira-330971,$230.78
5,6,Chris Deolal,Kashtira,kashtira-330972,$237.27
6,7,Sanjay Singh,Superheavy Samurai,superheavy-samurai-330976,$84.07
7,8,Rishi Tripathi,Vanquish Soul,vanquish-soul-330979,$228.34
8,9,Jason Chris Ramadhar,Rikka,therion-sunavalon-rikka-330997,$144.50
9,10,Andre Joseph,Despia,branded-despia-330988,$128.50
10,11,Emmanuel Benjamin,Floowandereeze,perfection-floowandereeze-330982,$70.51
11,12,Gregory Austin C. Smith,Gold Pride,p-u-n-k-gold-pride-331000,$95.01
12,13,Sean Dillon,Kashtira,kashtira-330995,$245.37
13,14,Justin Manganoo,Purrely,purrely-330994,$129.08
14,15,Brandon Deonarine,Vanquish Soul,vanquish-soul-331002,$222.60
15,16,Imran Ali John,Kashtira,kashtira-330999,$245.35
