,placement,player,archetype,deck_id,deck_cost
0,1,Danny Khan,Kashtira,kashtira-330044,$236.00
1,2,Ammad Raja,Kashtira,kashtira-330053,$216.87
2,3,Jessica Robinson,Rikka,sunavalon-rikka-329967,$140.14
3,4,Joe White,Kashtira,kashtira-330042,$237.23
4,5,Marcus Patel,Kashtira,kashtira-329957,$230.50
5,6,Michael Broadbent,Kashtira,kashtira-330255,$202.62
6,7,Matthew Chen,Labrynth,labrynth-329968,$149.55
7,8,Darren Stephenson,Kashtira,,
8,9,Thomas Rose,Rikka,therion-sunavalon-rikka-330055,$106.01
9,10,Thomas Field,Naturia,,
10,11,Fletcher L.,Purrely,,
11,12,Jason Leong,Labrynth,,
12,13,Alex Moffatt,Kashtira,kashtira-329957,$230.50
13,14,Merlin Davies,Superheavy Samurai,superheavy-samurai-330260,$85.54
14,15,Michael B.,Kashtira,,
15,16,Deklan Davies,Kashtira,kashtira-330656,$214.61
16,17,Joseph Ray,Despia,branded-despia-329953,$160.16
17,18,David Weir,Rikka,,
18,19,Gabriel Netz,Labrynth,labrynth-330041,$185.45
19,20,Alex Robertson,Labrynth,labrynth-330041,$185.45
20,21,Timothy Cox,Labrynth,labrynth-330261,$179.25
21,22,Jordan Gallacher,Kashtira,,
22,23,Henry Bancroft,Kashtira,,
23,24,Matthew Chambers,Kashtira,,
24,25,Darwin N. ,Despia,,
25,26,Mahdi Rahim,Spright,,
26,27,Jevan,Spright,,
27,28,Andre D.,Kashtira,,
28,29,Mitchell Thornton,Superheavy Samurai,,
29,30,Luke D.,Kashtira,,
30,31,James C.,Purrely,,
31,32,Jake Grey,,,
