,placement,player,archetype,deck_id,deck_cost
0,1,Esteban Velásquez,Kashtira,kashtira-323825,$186.66
1,2,Cristian Urena,Naturia,,
2,3,Jorge Alejandro Matu Gutierrez,Despia,branded-despia-324116,$82.49
3,4,Carlos Andres Perez Padilla,Kashtira,kashtira-324117,$228.32
4,5,Sergio Mauricio Farfan Soto,Kashtira,kashtira-324435,$189.96
5,6,Lucas Santos De Aquino,Kashtira,blind-second-kashtira-323962,$213.36
6,7,Mateus Moreno ,Mathmech,mathmech-323957,$66.10
7,8,Gerardo Jesus Delgado Portilla ,,,
8,9,Jaime Jimenez,Swordsoul,tenyi-swordsoul-324441,$97.42
9,10,Eric Lima,Mathmech,mathmech-323957,$66.10
10,11,Maxwell Pagan,Kashtira,kashtira-323834,$210.51
11,12,<5 unknown Top 16 duelists>,,,
12,13,Joao Douglas,Despia,branded-despia-324439,$134.20
13,14,Hernan Bravo,Labrynth,labrynth-324436,$80.03
14,15,Rafael Reich,Kashtira,kashtira-323832,$248.64
15,16,Marin Santiago,Kashtira,kashtira-323825,$186.66
16,17,Jason Ramirez,Naturia,runick-naturia-324443,$69.13
17,18,Luis Cada,Kashtira,kashtira-323833,$231.55
18,19,<10 unknown Top 32 duelists>,,,
