,placement,player,archetype,deck_id
0,1,Andree Chavez Curioso,Floowandereeze,floowandereeze-363972
1,2,Maximillian Reynolds,Rescue-ACE,rescue-ace-364368
2,3,Joseph Chou,Kashtira,kashtira-365163
3,4,Kody Manabe,Unchained,unchained-365161
4,5,Jesse Kotton,Unchained,unchained-365175
5,6,Aditya Dharap,Unchained,unchained-363976
6,7,Enzo Fiallos,Kashtira,kashtira-364374
7,8,Rohan Patel,Kashtira,
8,9,Andres David Torres,Chimera,branded-chimera-363978
9,10,Ruben Penaranda,Dragon Link,bystial-dragon-link-364371
10,11,Gabriel Netz Benakouche,Purrely,purrely-363977
11,12,Ashik Nabit,Kashtira,kashtira-363975
12,13,Gerardo Jesus Delgado,Unchained,
13,14,Kenny Nguyen,Kashtira,kashtira-364373
14,15,Henry Bancroft,Floowandereeze,floowandereeze-363974
15,16,Mauricio Edward Castaneda,Kashtira,kashtira-365799
16,17,Marcus Patel,Rikka,therion-sunavalon-rikka-363971
17,18,Rodolfo Ramirez,Despia,bystial-branded-despia-364367
18,19,Tom Menzel,Purrely,blind-second-purrely-364372
19,20,Jair Antonio Tadeo,Mannadium,scareclaw-mannadium-364370
20,21,Victor Manuel Lopez,Dinosaurs,true-king-dinosaurs-363937
21,22,Giovanni Gonzales,Mannadium,scareclaw-mannadium-365057
22,23,Leon Dowe-Ranger,Mathmech,firewall-mathmech-364520
23,24,Alejandro Garcia Moreno,Kashtira,
24,25,Hector Perez,Rescue-ACE,rescue-ace-363979
25,26,Cameron Neal,Unchained,unchained-365029
26,27,Pakawat Pamornsut,Unchained,unchained-365656
27,28,Justin Singh,Kashtira,
28,29,Victor Eduardo Figueroa,Labrynth,labrynth-364375
29,30,Ryan Fletcher,Floowandereeze,floowandereeze-364378
30,31,Walter Jule,Unchained,
31,32,Vinicio Chong,Despia,
