,placement,player,archetype,deck_id
0,1,Jesse Kotton,Tearlaments,bystial-ishizu-tearlaments-311251
1,2,Paulie Aronson,Tearlaments,bystial-ishizu-tearlaments-311525
2,3,Pakawat Pamornsut,Tearlaments,bystial-ishizu-tearlaments-311314
3,4,Luis Alfredo Sierra Villa,Spright,bystial-spright-311315
4,5,Raphael Neven,Tearlaments,bystial-ishizu-tearlaments-311253
5,6,Esala Wathutantrige,Tearlaments,bystial-ishizu-tearlaments-311252
6,7,Joseph Tello Wong,Spright,bystial-spright-311317
7,8,Ryan Fletcher,Floowandereeze,floowandereeze-311421
8,9,Jose Carlo Toscano,Tearlaments,bystial-ishizu-tearlaments-311318
9,10,Hani Yasser Jawhari,Tearlaments,bystial-ishizu-tearlaments-311419
10,11,Yacine Sahil,Tearlaments,bystial-ishizu-tearlaments-311129
11,12,Cezar Victor Lopez Coscia,Floowandereeze,floowandereeze-311537
12,13,Angel Fernando Ovalle Rivera,Spright,
13,14,Christopher Mora Abarca,,
14,15,Sergio Miranda Vargas,,
15,16,Orell Daniel Olivares Perez,,
16,17,Cristian Urena,Tearlaments,mystic-mine-ishizu-tearlaments-311420
17,18,Manuel Alejandro Lacan Archilla,Tearlaments,bystial-ishizu-tearlaments-311328
18,19,Antonio Paredes ,Tearlaments,bystial-ishizu-tearlaments-311334
19,20,Victor Eduardo Figueroa Sanchez,Tearlaments,bystial-ishizu-tearlaments-311329
20,21,Manuel Vargas,Tearlaments,bystial-ishizu-tearlaments-311130
21,22,Erick Villanueva Priego,Tearlaments,bystial-ishizu-tearlaments-311332
22,23,Simon He,Tearlaments,bystial-ishizu-tearlaments-311254
23,24,Gerald Yagans South Chaves,Tearlaments,bystial-ishizu-tearlaments-311423
24,25,Juan Carlos Rodriguez Acosta,Floowandereeze,floowandereeze-311425
25,26,Juan Renan Rodriguez Tejada,Tearlaments,bystial-ishizu-tearlaments-311529
26,27,Hansel Erik Aguero,Tearlaments,bystial-ishizu-tearlaments-311254
27,28,Giancarlo Alberto Fasta Singh,,
28,29,Jose Andres Guevara Duarte,,
29,30,Key Andree Chavez Curioso,,
30,31,Tomas Jimenez Acosta,,
31,32,Kevin M.Martinez,,
