,placement,player,archetype,deck_id,deck_cost
0,1,Julius Schwarzkopf,Rikka,therion-sunavalon-rikka-366500,$122.69
1,2,Lukas Janßen,Vanquish Soul,vanquish-soul-366505,$206.13
2,3,Sophiane Belkacem,Despia,branded-despia-367025,$128.95
3,4,Lorenzo Muselli,Unchained,unchained-366546,$120.77
4,5,Gabriel Netz,Tearlaments,destiny-danger-tearlaments-366495,$143.53
5,6,Sebastien Ma,Purrely,spright-purrely-367277,$131.39
6,7,Giuseppe Tarsitano,Floowandereeze,floowandereeze-367623,$102.91
7,8,Sven Rebmann,Floowandereeze,floowandereeze-367086,$135.54
8,9,Davide Giannoccaro,Despia,chimera-branded-despia-366402,$118.01
9,10,Guillaume Venier,Tearlaments,destiny-ishizu-tearlaments-366555,$141.32
10,11,Bastien Magnée,Mannadium,kashtira-scareclaw-mannadium-367525,$151.38
11,12,Gianluca Di Luigi,Dragon Link,bystial-dragon-link-366424,$228.07
12,13,Jesse Kotton,Unchained,unchained-366508,$112.81
13,14,Ammad Raja,Labrynth,labrynth-369439,$249.89
14,15,Liang Liang Yang,Unchained,unchained-368790,$188.06
15,16,Can Tari,Unchained,unchained-366405,$146.07
16,17,Vincenzo Orofino,Tearlaments,destiny-shaddoll-tearlaments-367626,$128.75
17,18,Alexandre Ben,Tearlaments,destiny-ishizu-tearlaments-366421,$141.64
18,19,Flaminio Rossi,Tearlaments,shaddoll-kashtira-tearlaments-367481,$171.70
19,20,Adriano Semenovicz,Tearlaments,destiny-danger-tearlaments-366423,$98.77
20,21,Erikas Zaveckis,Tearlaments,danger-ishizu-tearlaments-366385,$167.05
21,22,Herman Hansson,Tearlaments,ishizu-tearlaments-366403,$195.25
22,23,Teodor Mishev,Mannadium,kashtira-mannadium-366797,$203.19
23,24,Sven-Ole Wegner,Dragon Link,,
24,25,Jan-Oliver Meyer,Dragon Link,bystial-dragon-link-366557,$246.70
25,26,Lukas Voβ,Vanquish Soul,superheavy-samurai-vanquish-soul-366550,$181.75
26,27,Samir Bachar,Spright,melffy-spright-367084,$163.92
27,28,Vincent Braun,Unchained,unchained-367523,$114.85
28,29,Tom Kleinegräber,Labrynth,labrynth-367147,$156.09
29,30,Oussama Taybi,Unchained,unchained-367085,$167.44
30,31,Jan Scheffer,Tearlaments,,
31,32,Robert Asatryan,Mikanko,mikanko-366410,$88.05
32,33,Loa Strandberg,Mannadium,revolution-kashtira-mannadium-366420,$164.01
33,34,Alexandre Collet,Chimera,melffy-branded-chimera-373111,$132.57
34,35,Matteo Bertulezzi,Despia,bystial-branded-despia-366679,$244.47
35,36,Leonardo Sacchetti,Fur Hire,runick-spright-fur-hire-366681,$68.43
36,37,Fabian Petku,Spright,melffy-evil-twin-spright-366588,$231.37
37,38,Henry Bancroft,Tearlaments,destiny-danger-tearlaments-366495,$143.53
38,39,Matthieu Bricard,Dragon Link,bystial-dragon-link-366798,$202.34
39,40,Timor Krimmel,Mathmech,firewall-mathmech-367477,$95.55
40,41,Philipp Niehus,Chimera,branded-chimera-366533,$132.42
41,42,Arras Simone,Chimera,,
42,43,Cornelius Seyfer,Despia,branded-despia-366490,$63.96
43,44,Alessio Cefola,Mannadium,revolution-mannadium-367479,$94.47
44,45,Paul-Emmanuel Le Bihan,Dragon Link,bystial-dragon-link-367526,$278.55
45,46,Eldin Sadiki,Despia,branded-despia-366510,$114.68
46,47,Pierre Burgais,Dragon Link,,
47,48,Jonasz Pilat,Purrely,purrely-366547,$171.81
48,49,Jordan Gallacher,Unchained,unchained-366393,$109.05
49,50,Brice Dodeller,Purrely,purrely-367087,$216.33
50,51,Ruben Lima,Virtual World,virtual-world-366531,$68.27
51,52,Lucas Waser,Unchained,unchained-367475,$91.08
52,53,Matteo Colagiorgio,Purrely,purrely-367905,$166.17
53,54,Dorian Auboueix,Unchained,,
54,55,Sebastian Blümmers,Rescue-ACE,,
55,56,Gabriele Sgotti ,Floowandereeze,floowandereeze-367623,$102.91
56,57,Baptiste Derouin,Floowandereeze,floowandereeze-367519,$57.28
57,58,Florian Deken,Purrely,purrely-366676,$169.36
58,59,Gaetano Cardillo,Purrely,purrely-366677,$187.09
59,60,Jack Verma,Labrynth,labrynth-367478,$156.09
60,61,Gabriel Soussi,Purrely,purrely-371245,$104.81
61,62,Viktor Ivanov,Despia,branded-despia-367521,$151.84
62,63,Joseph Gharabja,Dragon Link,bystial-dragon-link-368231,$227.62
63,64,Alberto Barzan,Floowandereeze,floowandereeze-367520,$91.26
