,placement,player,archetype,deck_id
0,1,Andres Torres,Despia,branded-snow-despia-276268
1,2,Paulo Roberto Goncalves,Eldlich,60-card-adventurer-cyberse-enforcer-eldlich-276539
2,3,Cristian Urena,Swordsoul,halqifibrax-tenyi-swordsoul-276272
3,4,Esala Wathuthantrige,Despia,
4,5,Raphael Neven,Prank-Kids,adventurer-enforcer-prank-kids-276547
5,6,<unknown duelist>,,
6,7,Alejandro Garcia,Despia,branded-adventurer-despia-276586
7,8,Alan Ernesto Olvera Mendoza,Dragon Link,enforcer-adventurer-dragon-link-475248
8,9,Alonso Osuna,Tri-Brigade,branded-tri-brigade-275916
9,10,<7 unknown Top 16 duelists>,,
