,placement,player,archetype,deck_id,deck_cost
0,1,Paulo Roberto Goncalves da Silva,Sky Striker,,
1,2,Jonhathan Sebastian Vazquez Herrera,Sky Striker,,
2,3,Esala Sammidha de Alwis Wathuthantrige,Thunder Dragon,,
3,4,Ricardo Ruiz Mendoza,Sky Striker,,
4,5,Briant Alavez,Thunder Dragon,,
5,6,Andres Torres,Salamangreat,,
6,7,Galileo De Obaldia Soza,Sky Striker,,
7,8,Alejandro Reyes Suarez,Sky Striker,,
8,9,Jesse Kotton,Thunder Dragon,,
9,10,Nelson Omar Andino Ochoa,Orcust,,
10,11,Shovon ON Roy,Thunder Dragon,,
11,12,Jose Antonio Castillo,Salamangreat,,
12,13,Manav Dawar,Sky Striker,,
13,14,Erick Villanueva Priego,Sky Striker,,
14,15,Cesar Alberto Salinas Magana,Salamangreat,,
15,16,Aaron Arturo Aguirre Osuna,Salamangreat,,
