,placement,player,archetype,deck_id,deck_cost
0,1,Landon Oliver,Fire King,azamina-snake-eye-fire-king-543028,$1085.37
1,2,Rico Eichelberger,Snake-Eye,azamina-kashtira-snake-eye-543222,$954.82
2,3,Jhon David Guerrero Sanchez,Fire King,azamina-snake-eye-fire-king-544008,$1022.02
3,4,Christopher Bernard Penafiel Ramire,Tenpai Dragon,tenpai-dragon-544007,$787.82
4,5,Paulo Roberto Goncalves da Silva,Snake-Eye,,
5,6,Paul David Delgado Rezabala,Fire King,,
6,7,Sebastian Alonso Serna Samame,Tenpai Dragon,tenpai-dragon-543481,$794.73
7,8,Andres Eduardo Chavez Mendieta,Unchained,fiendsmith-magical-musketeer-unchained-543240,$701.77
8,9,Juan Augusto Renteria Pastor,Fire King,,
9,10,Daniel De Meza Guiterrez,Fire King,azamina-snake-eye-fire-king-543685,$1090.37
10,11,Francisco Bobadilla,Snake-Eye,azamina-snake-eye-543225,$1108.05
11,12,Nicolas Miguel Vera Avila,Snake-Eye,azamina-snake-eye-543243,$1117.14
12,13,Gilbert Isaac Prato Zambrano,Tenpai Dragon,tenpai-dragon-543482,$137.78
13,14,German Antonio Banegas Pezo,Yubel,,
14,15,Jose Jesus Castillo Aramundiz,Tenpai Dragon,tenpai-dragon-543519,$963.55
15,16,Santiago Andres Anaya Bermudez,Tenpai Dragon,tenpai-dragon-544886,$800.37
16,17,Ronny Sebastian Aviles Cevallos,Dragon Link,,
17,18,Juan Sebastian Andrade Castro,Exodia,millennium-exodia-543218,$201.21
18,19,Kamal Crooks-Valdez,Mermail,atlantean-mermail-544946,$1000.38
19,20,Christopher LeBlanc,Snake-Eye,,
20,21,Luciano Jeronimo Bregion Junior,Snake-Eye,,
21,22,Key Andree Chavez Curioso,Floowandereeze,,
22,23,Benjamin Ignacio Munoz Mena,Labrynth,labrynth-543001,$1110.48
23,24,Alex Dario Puchaicela Pin,Despia,kashtira-bystial-branded-despia-543169,$303.80
24,25,Felix Gabriel Parra Suarez,Snake-Eye,,
25,26,Andres Dionicio Segovia Quispe,Snake-Eye,fiendsmith-azamina-snake-eye-545198,$899.01
26,27,Andres Gustavo Camposano,Yubel,fiendsmith-kashtira-yubel-543061,$395.63
27,28,Luis Angel Muga Barron,Yubel,,
28,29,Nadir Acchab El Hajjami,Traptrix,,
29,30,Erick Ivan Fiallos Herrara,Tenpai Dragon,,
30,31,Jean Carlos Flor,Floowandereeze,floowandereeze-543055,$109.56
31,32,Jordy Isaias Torres Ascencio,Tenpai Dragon,,
