,placement,player,archetype,deck_id,deck_cost
0,1,Pascal Manigat,Memento,goblin-biker-memento-588729,554.81
1,2,Manuel Kälin,Ryzeal,ryzeal-588731,507.00
2,3,Aditya Dharap,Mermail,atlantean-mermail-588733,511.24
3,4,Kevin Züger,Ryzeal,ryzeal-588731,507.00
4,5,Anthony Vang Jr.,Ryzeal,fiendsmith-ryzeal-588850,702.90
5,6,Nathaniel Vasquez,Ryzeal,fiendsmith-ryzeal-588848,792.69
6,7,Christian Agustin,Maliss,maliss-589340,581.04
7,8,Kaihuang Zhang,Labrynth,labrynth-590135,627.99
8,9,Lexus Wingate,Blue-Eyes,fiendsmith-primite-blue-eyes-588497,833.09
9,10,Edwin Strom IV,Bystial,maliss-fiendsmith-bystial-588843,903.47
10,11,John Crowley,Ryzeal,,
11,12,Israel Figueroa,Maliss,bystial-maliss-588776,643.18
12,13,George Lucas Sacco,Maliss,kashtira-maliss-589131,629.35
13,14,Francisco Osorio Bobadilla,Maliss,maliss-588842,474.60
14,15,Jarred Randolph,Maliss,maliss-588844,617.12
15,16,Bryce Sharp,Ryzeal,ryzeal-588516,422.42
16,17,Javier Antonio Soto,Bystial,maliss-fiendsmith-bystial-592647,941.89
17,18,Tyler Felix,White Forest,fiendsmith-azamina-white-forest-588738,878.62
18,19,Jose Marin,Yubel,fiendsmith-yubel-589158,631.43
19,20,Simon He,Odion,fiendsmith-odion-588737,760.04
20,21,Luis Sanabria,Ryzeal,fiendsmith-ryzeal-588777,801.99
21,22,Logan Shepard,Ryzeal,fiendsmith-ryzeal-589408,755.14
22,23,Tayveon Crowley,Ryzeal,fiendsmith-ryzeal-590580,718.90
23,24,Hector Josue Orellana,Maliss,,
24,25,Juan Fernando Casillas Lozano,Maliss,,
25,26,Jesse Flores,Ryzeal,,
26,27,Colby Blomstrom,Blue-Eyes,primite-blue-eyes-588491,755.21
27,28,Jesus Barrios,Rescue-ACE,fiendsmith-rescue-ace-590127,557.24
28,29,Julien Kehon,Maliss,maliss-590122,490.01
29,30,Darian Hahn,Ryzeal,ryzeal-588514,691.21
30,31,Jesse Simnegar,Maliss,maliss-590122,490.01
31,32,Bryan Angiuoli,Ryzeal,ryzeal-588487,750.40
