,placement,player,archetype,deck_id
0,1,Paulo Goncalves da Silva,Snake-Eye,diabellstar-snake-eye-496850
1,2,Christopher LeBlanc,Snake-Eye,diabellstar-snake-eye-496849
2,3,Cameron Neal,Snake-Eye,diabellstar-snake-eye-496848
3,4,Simon He,Snake-Eye,diabellstar-snake-eye-496845
4,5,Shunping Xu,Snake-Eye,diabellstar-kashtira-snake-eye-497174
5,6,Austin Colling,Snake-Eye,diabellstar-snake-eye-496843
6,7,Adam Pruchnowski,Snake-Eye,diabellstar-snake-eye-496827
7,8,Raymond Dai,Labrynth,labrynth-497512
8,9,Jason Bai	,Fire King,diabellstar-snake-eye-fire-king-498347
9,10,Gabriel Soussi,Snake-Eye,
10,11,Peter Kontominas	,Snake-Eye,
11,12,Jesse Flores,Snake-Eye,diabellstar-snake-eye-496848
12,13,Sebastian Wesley Todd,Snake-Eye,
13,14,Jose Diaz de Leon,Despia,branded-despia-497296
14,15,Joshua Ramkissoon,Melodious,melodious-496823
15,16,Justin Chinsky,Tenpai Dragon,tenpai-dragon-497301
16,17,Joel White,Snake-Eye,diabellstar-kashtira-snake-eye-496830
17,18,Blake Morrison,Snake-Eye,diabellstar-kashtira-snake-eye-498339
18,19,Jose Santiago Torres,Snake-Eye,diabellstar-kashtira-snake-eye-498350
19,20,Maguette Gueye,Salamangreat,diabellstar-snake-eye-salamangreat-ftk-496791
20,21,Carl Blaschke,Fire King,
21,22,Johnny Nguyen,Runick,stun-runick-497515
22,23,Justin Russell,Snake-Eye,diabellstar-snake-eye-497615
23,24,Landon Oliver,Snake-Eye,diabellstar-snake-eye-497031
24,25,Kassim Abdool Hakim,Snake-Eye,
25,26,Daniel Ramirez Medina,Runick,stun-runick-497612
26,27,Adrian Gonzalez,Snake-Eye,diabellstar-snake-eye-497513
27,28,Gabriel Braithewaite	,Snake-Eye,diabellstar-snake-eye-497861
28,29,Andrew Nguyen,Snake-Eye,
29,30,Craig Smith,Kashtira,kashtira-497305
30,31,Rolando Geraldo Mora Jr.,Melodious,melodious-497028
31,32,Aaron Conley,Voiceless Voice,voiceless-voice-497298
