,placement,player,archetype,deck_id,deck_cost
0,1,Steven Santoli,Rescue-ACE,diabellestarr-rescue-ace-378335,$137.75
1,2,Logan Johnson,Rescue-ACE,diabellstar-rescue-ace-378485,$151.03
2,3,Steven Trifunoski,Mannadium,kashtira-scareclaw-mannadium-378327,$155.91
3,4,Yucheng Li,Purrely,purrely-378478,$162.93
4,5,Yamil Camacho,Exosister,spirit-exosister-378361,$141.06
5,6,Alejandro Lopez,Rescue-ACE,diabellstar-rescue-ace-380093,$143.64
6,7,Cameron Neal,Unchained,unchained-379809,$158.49
7,8,Paulo Goncalves Da Silva,Tearlaments,,
8,9,Josh Kippenberg,Tearlaments,destiny-ishizu-tearlaments-378581,$138.10
9,10,Kailyn Cooksey Garcia,Horus,horus-bystial-resonator-378397,$341.87
10,11,Yuhao Ye,Rikka,therion-sunavalon-rikka-378343,$125.74
11,12,Michael Fox,Rescue-ACE,diabellstar-rescue-ace-378354,$160.81
12,13,Jose Santiago Torres,Rescue-ACE,diabellstar-rescue-ace-378479,$177.96
13,14,Thomas Durnil,Rescue-ACE,diabellestarr-rescue-ace-378246,$120.36
14,15,Hani Jawhari,Mannadium,scareclaw-mannadium-378363,$134.56
15,16,Ryhan Jabri,Rescue-ACE,diabellstar-rescue-ace-378394,$119.37
16,17,Jackson Rauch,Rescue-ACE,diabellestarr-rescue-ace-378249,$141.80
17,18,Jancarlos Cintron,Spright,adventurer-spright-378353,$259.04
18,19,Brenden Beckmann,Rescue-ACE,diabellstar-rescue-ace-380402,$187.22
19,20,Erkam Yilmaz,Rescue-ACE,diabellestarr-rescue-ace-378236,$174.72
20,21,Christopher Ho,Rescue-ACE,,
21,22,Logan Kite,Rescue-ACE,diabellstar-rescue-ace-378355,$204.13
22,23,Oscar Burgos,Tri-Brigade,spright-tri-brigade-378225,$222.92
23,24,Joo Ho Ahn,Tearlaments,ishizu-tearlaments-378357,$186.83
24,25,Jack Baum,Floowandereeze,floowandereeze-379336,$145.18
25,26,David Golightly ,Labrynth,labrynth-378337,$202.94
26,27,Christopher LeBlanc,Purrely,purrely-378345,$109.19
27,28,Anandeth Sinhradsvong,Purrely,,
28,29,Landon Oliver,Purrely,purrely-378216,$140.44
29,30,Johnny Vu,Vanquish Soul,vanquish-soul-384344,$202.28
30,31,Roberto Hernandez,Unchained,unchained-378583,$138.24
31,32,Johnny Nguyen,Runick,runick-378582,$96.01
