,placement,player,archetype,deck_id
0,1,Jesse Kotton,Thunder Dragon,
1,2,Dominic Couch,Orcust,
2,3,Gaeten Georges,Thunder Dragon,
3,4,Larry Musgrove,Salamangreat,
4,5,Jeff Jones,Orcust,
5,6,Sebastian Sanchez,Thunder Dragon,
6,7, Faisal Khan,Thunder Dragon,
7,8,Junior Dorcin,Sky Striker,
8,9,Mark Myatt,Orcust,
9,10,Avery Foster,Orcust,
10,11,Benjamin Deeter,Orcust,
11,12,Brian Stone,Salamangreat,
12,13, Galileo De Obaldia Soza,Sky Striker,
13,14,James Kim,Thunder Dragon,
14,15,Arnold Nadaban Zanabria,Sky Striker,
15,16,Paulo Goncalves da Silva,Salamangreat,
16,17,Maximillian John Edward Reynolds,Orcust,
17,18,Robert Andrew McNett,Orcust,
18,19,Cristian Rafael Urena,Thunder Dragon,
19,20,Andres Torres Reyes,Danger!,
20,21,Luke Joseph Parkes,Danger!,
21,22,Paul Cordell Crum,Thunder Dragon,
22,23,Gabriel Antonio Vargas,Thunder Dragon,
23,24,Oscar Orlando Gallardo,Sky Striker,
24,25,Timothy George Cox,Salamangreat,
25,26,Marc Daniel St. Romain,Salamangreat,
26,27,Erick Villanueva Priego,Orcust,
27,28,Santiago Rey FL Guzman,Thunder Dragon,
28,29,Julian Andrew Cresto,Salamangreat,
29,30,Robert Kiley Klonowski,Sky Striker,
30,31,Shemar Shardel House,Salamangreat,
31,32,Cristopher Geovany Ramos,Salamangreat,
