,placement,player,archetype,deck_id,deck_cost
0,1,Noël Hamel,Yubel,fiendsmith-yubel-532987,$462.42
1,2,Julius Schwarzkopf,Plant Link,ragnaraika-plant-link-532310,$408.85
2,3,Yacine Sahli,Yubel,fiendsmith-yubel-532932,$688.13
3,4,Mario De Micco,Tenpai Dragon,,
4,5,Zeki Shah,White Forest,runick-white-forest-532340,$437.35
5,6,Thomas Arend Kas,Yubel,fiendsmith-yubel-534321,$671.73
6,7,Herman Hansson,Ritual Beast,ritual-beast-531962,$215.93
7,8,Fernando Pastor,Tenpai Dragon,tenpai-dragon-533314,$390.92
8,9,Philip Weidinger,Snake-Eye,fiendsmith-kashtira-snake-eye-532296,$699.21
9,10,Daniele Lorenzi,Yubel,fiendsmith-kashtira-yubel-531976,$696.30
10,11,Vincent Hammouche,Yubel,,
11,12,Jordan Thillot,Chimera,fiendsmith-chimera-538883,$651.43
12,13,Robin Dulin,Purrely,kashtira-purrely-532306,$373.72
13,14,Ludovic Lefevre,Tenpai Dragon,tenpai-dragon-532577,$146.19
14,15,Loan Cite-Mielle,Labrynth,labrynth-532625,$484.24
15,16,Noah Muftah,Labrynth,labrynth-532304,$240.30
16,17,Valerio Sprecacenere,Voiceless Voice,fiendsmith-dogmatika-voiceless-voice-532290,$431.45
17,18,Gabriel Soussi,Yubel,fiendsmith-kashtira-yubel-533879,$375.82
18,19,Iilas Fassi,Yubel,fiendsmith-yubel-535852,$710.95
19,20,Giuseppe Mincione,Yubel,fiendsmith-yubel-531978,$657.31
20,21,Viktor Ivanov,Yubel,,
21,22,Kevin Bruder,Yubel,fiendsmith-yubel-532281,$690.64
22,23,Gioele Arcudi,Runick,stun-runick-532574,$78.04
23,24,Dario Guidotti,Fire King,snake-eye-fire-king-535146,$412.16
24,25,Leah Lebeda,Chimera,fiendsmith-chimera-532748,$682.74
25,26,Romain Brunet,Yubel,,
26,27,Martin Derom,Chimera,,
27,28,Antoine Lestarquis,Tenpai Dragon,tenpai-dragon-534322,$367.45
28,29,Ronan LE Guerroue,Ritual Beast,ritual-beast-532750,$356.56
29,30,Yusuf Nisar,Tenpai Dragon,tenpai-dragon-532572,$383.59
30,31,Thibaut Pelcot,Melodious,melodious-532687,$402.00
31,32,Minh Duc Hoang,White Forest,toy-white-forest-533284,$296.35
