,placement,player,archetype,deck_id,deck_cost
0,1,Samir Bachar,Spright,melffy-spright-323686,$161.80
1,2,Tom Kleinegräber,Kashtira,kashtira-323575,$225.55
2,3,Din-Kha Bui,Fur Hire,runick-spright-fur-hire-324017,$93.09
3,4,An Qi Xu ,Kashtira,kashtira-323725,$233.75
4,5,Lorenzo Santoni,Kashtira,kashtira-324781,$238.55
5,6,Flavio Palumbo,Kashtira,kashtira-323824,$233.75
6,7,Patrick Hoffman,Kashtira,kashtira-324053,$219.99
7,8,Ryhan Jabri,Kashtira,kashtira-324062,$227.37
8,9,Vincenzo Orofino,Spright,evil-twin-runick-spright-323560,$77.10
9,10,Shianxiao Wan,Spright,melffy-spright-325694,$99.89
10,11,Dinh Khang Pham,Spright,melffy-spright-323716,$141.89
11,12,Marvin Kammerer,Spright,melffy-spright-324149,$141.89
12,13,Lorenzo Muselli,Kashtira,kashtira-323949,$231.65
13,14,Toby Andrews,Mathmech,mathmech-323953,$61.42
14,15,Giuseppe Frosi,Labrynth,labrynth-324110,$80.81
15,16,Francesco Bonafede,,,
16,17,Joshua Schmidt,Spright,evil-twin-runick-spright-323685,$127.28
17,18,Eteeyen Ita,Spright,evil-twin-runick-spright-324566,$127.25
18,19,Aaron McInnes,Dragon Link,bystial-dragon-link-323724,$180.59
19,20,Errikos G. Bek,Kashtira,kashtira-323491,$235.32
20,21,Leon Dowe-Ranger,Mathmech,mathmech-323722,$70.60
21,22,Gabriele Sgotti,Kashtira,kashtira-323824,$233.75
22,23,Gjelil Krasniqi,Mathmech,mathmech-324143,$77.34
23,24,Daniele Stella,Kashtira,kashtira-323708,$183.60
24,25,Dorian Cacitti-Holland,Kashtira,kashtira-323967,$252.82
25,26,Alessio Cefola,Kashtira,kashtira-323824,$233.75
26,27,Lukas Harsche,Spright,trickstar-melffy-spright-323837,$136.00
27,28,David Weir ,Rikka,therion-sunavalon-rikka-323699,$144.78
28,29,Marvin Flugge,Naturia,runick-naturia-323812,$102.07
29,30,Ben Grandl,,,
30,31,Patrick Amann,,,
31,32,Charel Jentges,,,
32,33,Jessica Robinson,Rikka,therion-sunavalon-rikka-323699,$144.78
33,34,Alex Robertson,Rikka,therion-sunavalon-rikka-323699,$144.78
34,35,Eldin Sadiki,Despia,branded-predaplant-despia-324933,$51.02
35,36,Kieran Bowers,Spright,melffy-spright-324156,$136.15
36,37,Kalil St. Ange,Tri-Brigade,spright-tri-brigade-323818,$153.85
37,38,Sebastian Payne,Despia,branded-despia-323951,$50.36
38,39,Davide Venturi,Despia,branded-despia-324145,$81.01
39,40,Anestis Xanidis,Spright,melffy-spright-324783,$118.13
40,41,Can Tari,Traptrix,therion-traptrix-323929,$86.61
41,42,Zoltan Kolonics,Naturia,runick-naturia-323952,$89.13
42,43,Gabriel Soussi,Kashtira,kashtira-324127,$219.87
43,44,Burak Kaya,Kashtira,kashtira-324154,$221.89
44,45,Jan Hajdari,Kashtira,kashtira-324151,$180.68
45,46,Mathias Lefevre,Kashtira,kashtira-323950,$218.34
46,47,Guillaume Venier,Kashtira,kashtira-324150,$184.02
47,48,Matteo Mordanini,Kashtira,kashtira-324782,$228.52
48,49,Julio Valls,Mathmech,,
49,50,Luka Forjan,Floowandereeze,floowandereeze-323843,$70.27
50,51,Jack Verma,Labrynth,labrynth-323817,$78.68
51,52,Loa Strandberg,Kashtira,kashtira-324132,$243.74
52,53,Maximillian Muller,Kashtira,kashtira-325705,$212.46
53,54,Abderrahman Achimimou,Drytron,magikey-drytron-324206,$117.01
54,55,Filippo Pura,Springans,springans-323728,$96.42
55,56,Minjae Kim,Labrynth,labrynth-323726,$90.17
56,57,Guillaume Maron,,,
57,58,Lewis Foulkes,,,
58,59,Paul-Emmanuel Le Bihan,,,
59,60,Anthony S.,,,
60,61,Giannis Tato,,,
61,62,Alexandre Petitjean,,,
62,63,Caitlin Mantel,,,
63,64,Paul Wegener,,,
