,placement,player,archetype,deck_id,deck_cost
0,1,Paulie Aronson,Kashtira,kashtira-323935,$228.03
1,2,Jesse Flores,Naturia,runick-naturia-323940,$77.51
2,3,Shunping Xu,Kashtira,runick-kashtira-323811,$189.41
3,4,Jacob Banuelos,Floowandereeze,floowandereeze-323574,$88.07
4,5,Hisam Jawhari,Tri-Brigade,spright-tri-brigade-323677,$89.75
5,6,Jonah Singer,Kashtira,kashtira-323948,$256.40
6,7,Poe Jiang,Kashtira,kashtira-323948,$256.40
7,8,Kevin Mendoza,Rikka,rikka-323562,$87.84
8,9,Clayton Harding,Mathmech,mathmech-323806,$66.51
9,10,Michael Albanese,Kashtira,kashtira-323913,$210.44
10,11,Panagiotis Mitrothanasis ,Kashtira,kashtira-323948,$256.40
11,12,Alexander Cancell,Kashtira,kashtira-323942,$204.88
12,13,Patrick Hoban,Kashtira,kashtira-324108,$231.53
13,14,Jesse Kotton,Kashtira,kashtira-323695,$183.60
14,15,Christopher Ho,Kashtira,,
15,16,Jorge Bernal Rodriguez,Kashtira,kashtira-323932,$200.93
16,17,Thomas Durnil,Scareclaw,kaiju-p-u-n-k-adventurer-scareclaw-323694,$102.67
17,18,Raymond Dai,Spright,melffy-adventurer-spright-323923,$103.40
18,19,Zach Stone,Branded,branded-despia-323690,$54.05
19,20,Caleb Cowdrey,Tearlaments,ishizu-tearlaments-323835,$117.60
20,21,David F.,Spright,,
21,22,Michael Murphy,Code Talker,mathmech-code-talker-323841,$69.21
22,23,Pakawat Pamornsut,Naturia,runick-naturia-323947,$59.80
23,24,Dominic Couch,Kashtira,kashtira-323913,$210.44
24,25,Colin Goodrich,Kashtira,kashtira-324666,$208.22
25,26,Trevor Commer,Kashtira,kashtira-323945,$207.52
26,27,Paulo Roberto Goncalves da Silva,Kashtira,,
27,28,Brenden Beckmann,Kashtira,kashtira-324131,$224.34
28,29,Steven Silverman,Kashtira,,
29,30,Adam Belohradsky,Traptrix,traptrix-323658,$74.25
30,31,Brian R.,Kashtira,kashtira-323939,$217.57
31,32,Daniel D.,Kashtira,kashtira-323712,$210.71
32,33,John Wilkin,Branded,branded-despia-323713,$97.28
33,34,Kamal Crooks,Tri-Brigade,spright-tri-brigade-323677,$89.75
34,35,Daniel Munoz,Kashtira,kashtira-p-u-n-k-324112,$155.44
35,36,Hector Silva,Naturia,runick-naturia-323727,$105.90
36,37,Jet X.,Swordsoul,,
37,38,Anthony Eckroth,Kashtira,raidraptor-kashtira-323558,$207.21
38,39,David Edwards,Naturia,runick-naturia-324432,$103.05
39,40,Charley Futch,Branded,branded-despia-323802,$78.96
40,41,Jacob Pieffle,Plunder Patroll,runick-plunder-patroll-323702,$72.86
41,42,Calvin Tahan,Spright,melffy-spright-323915,$151.01
42,43,David Hernandez,Naturia,runick-naturia-324433,$91.77
43,44,Ryan May,Drytron,drytron-323680,$137.46
44,45,Michael S.,Kashtira,,
45,46,Kobe Short,Kashtira,kashtira-324015,$211.47
46,47,Josh Kippenberg,Marincess,marincess-323821,$113.01
47,48,Jon Javor,Kashtira,kashtira-324664,$210.84
48,49,Jonathan Lu,Kashtira,kashtira-323943,$217.57
49,50,Sam Madani,Kashtira,kashtira-324119,$194.88
50,51,Blair Hunter,Kashtira,kashtira-323678,$203.57
51,52,Arvin B.,Floowandereeze,,
52,53,Vivek V. ,Drytron,drytron-323804,$157.64
53,54,Dakota Angeloff,Kashtira,kashtira-323919,$202.69
54,55,Roman A.,Sky Striker,,
55,56,Ryan T.,Kashtira,,
56,57,Jude Paris,P.U.N.K.,p-u-n-k-324142,$150.77
57,58,Luke Frangella,Kashtira,kashtira-323944,$208.69
58,59,Christopher W.,Kaiju,luna-kaiju-8-axis-otk-323920,$174.04
59,60,Ross N.,Naturia,,
60,61,Demario J.,Kashtira,,
61,62,David F.,Kashtira,,
62,63,Alex M.,Kashtira,,
63,64,Christian P.G. Pascua,Kashtira,kashtira-324351,$233.26
