,placement,player,archetype,deck_id,deck_cost
0,1,Cristian Urena,Snake-Eye,diabellstar-snake-eye-466327,$212.75
1,2,Carlos Andres Herrera Buendia,Runick,stun-runick-466106,$97.19
2,3,Andres David Torres,Snake-Eye,diabellstar-kashtira-snake-eye-465368,$240.78
3,4,Rafael Ernesto Escoto Golibart        ,Kashtira,heatsoul-kashtira-465695,$208.75
4,5,Giancarlo Valdez Tolentino,Fire King,diabellstar-snake-eye-fire-king-465694,$231.54
5,6,Jhon David Guerrero Sanchez,Fire King,,
6,7,Jonathan Javier Ruiz Rios,Snake-Eye,,
7,8,Rico Carlos Eichelberger,Snake-Eye,,
8,9,Leonardo Pustilnik Vieira Martins,Snake-Eye,diabellstar-kashtira-snake-eye-471007,$188.28
9,10,Cristian Camilo Quiceno Laurente,Chimera,horus-branded-chimera-469399,$134.55
10,11,Christopher LeBlanc,Snake-Eye,diabellstar-snake-eye-466068,$203.49
11,12,Juan Carlos Ramirez Reyes,Kashtira,,
12,13,Jose Antonio Castillo Aramundiz,Salamangreat,salamangreat-473542,$210.18
13,14,Diego Andres Cifuentes Hernandez,Voiceless Voice,,
14,15,Diego Rodriguez del Valle,Fire King,diabellstar-snake-eye-fire-king-466222,$212.97
15,16,Roberto Kristh Intriago Zambrano,Voiceless Voice,voiceless-voice-466800,$232.00
16,17,Juan Diego Gonzalez Viquez,Fire King,,
17,18,Joset Ferney Rojas Vargas,T.G.,,
18,19,Francisco Andres Osorio Bobadilla,Snake-Eye,,
19,20,Jason Hutchinson,Kashtira,heatsoul-kashtira-469982,$209.50
20,21,Hisam Jawhari,Snake-Eye,,
21,22,Nicolas Miguel Vera Avila,Snake-Eye,diabellstar-snake-eye-465696,$223.20
22,23,Guillermo Benjamin Morales Ramirez,Despia,,
23,24,Key Andree Chavez Curioso,Floowandereeze,,
24,25,Jhon Alejandro Rueda Arango,Fire King,diabellstar-snake-eye-fire-king-465371,$194.72
25,26,Fabian Arturo Cabezas Madrigal,Snake-Eye,diabellstar-kashtira-snake-eye-465697,$196.36
26,27,Yeison Bernardo Riano Ballesilla,Infernoid,diabellstar-snake-eye-infernoid-466514,$187.41
27,28,Juan Carlos Norabuena Mendoza,Fire King,,
28,29,Marcos Jefferson Cabeza Mosquera,Voiceless Voice,,
29,30,Krysthian David Almario Fuentes,Mannadium,scareclaw-mannadium-466792,$137.11
30,31,Lenin Mauricio Bedon Espinoza,Despia,,
31,32,Andres Gustavo Camposano Gonzales,Floowandereeze,floowandereeze-466108,$86.61
