,placement,player,archetype,deck_id
0,1,Andreas Vrellos,Orcust,sky-striker-orcust-378564
1,2,Maximilien Delval,True Draco,true-draco-378566
2,3,Niall McNulty,Orcust,sky-striker-orcust-378567
3,4,Lorenzo Muselli,,
4,5,Pierre Tomenko,Orcust,sky-striker-orcust-378568
5,6,Domenic Anton,Thunder Dragon,thunder-dragon-378573
6,7,<2 unknown Top 8 duelists>,,
7,8,Marcus Patel,Orcust,sky-striker-orcust-378574
8,9,<7 unknown Top 16 duelists>,,
9,10,James Vonhoff,Sky Striker,sky-striker-378576
10,11,Alex Moffatt,Pendulum FTK,pendulum-ftk-378578
11,12,Kristijan Masic,Magical Musket,magical-musket-378577
12,13,<13 unknown Top 32 duelists>,,
