,placement,player,archetype,deck_id
0,1,Kobe Short,Sky Striker,ycs-pasadena-2019-winner-sky-striker-orcust-kobe-short-65635
1,2,Dakota Angeloff,Sky Striker,
2,3,Dominic Eduardo Couch,Sky Striker,
3,4,Walter Jule,Salamangreat,
4,5,Ryan Arthur Levine,Orcust,
5,6,Marcel Burri,Orcust,
6,7,El Mehdi Mejdoub,Orcust,
7,8,Nico Aaron Watson,Altergeist,
8,9,Cristian Rafael Urena,Sky Striker,
9,10,Jake Paul Quinsee,Thunder Dragon,
10,11,Brian Chen,Sky Striker,
11,12,Paulo Roberto Goncalves da Silva,Salamangreat,
12,13,Robin Lucas Bachofner,Thunder Dragon,
13,14,Carl Edouard Manigat,Sky Striker,
14,15,Francisco Iram Alcaraz,Orcust,
15,16,Fortino Supelario Cabrales,Sky Striker,
16,17,Manav Dawar,Sky Striker,
17,18,Noah Michael Beygelman,Pendulum,
18,19,Jarred Charles Randolph,Dinosaur,
19,20,Jeremy Taeron Mitchell,Pendulum,
20,21,Hani Yasser Jawhari,Sky Striker,
21,22,Blair Alexander Hunter,Cyber Dragon,
22,23,Fabio Pieraccioli,Sky Striker,
23,24,Brenden Elijah Beckmann,Lunalight,
24,25,Hunter Francis Lloyd,Lunalight,
25,26,Denis Nadas,Sky Striker,
26,27,Aram Azael Arriaran Rodriguez,Orcust,
27,28,Abrahim Mahmoud Selim,Orcust,
28,29,Joseph Earl Bogli,Sky Striker,
29,30,Creighton Jevon Pree,Orcust,
30,31,Oscar Uriel Velez,Salamangreat,
31,32,Daniel Ramirez Medina,Salamangreat,
