,placement,player,archetype,deck_id
0,1,Raphael Neven,SPYRAL,
1,2,Elias Stahlberg,Lightsworn,
2,3,Fabio Zuccato,SPYRAL,
3,4,Joshua Schmidt,SPYRAL,
4,5,Patrick Doebelin,SPYRAL,
5,6,Lorenzo Santoni,SPYRAL,
6,7,Raymond Torres,,
7,8,Dinh-Khang Pham,,
8,9,Robin Bachofner,SPYRAL,
9,10,Matteo Mordanini,SPYRAL,
10,11,Markus Burtchen,,
11,12,Ole Wegner,,
12,13,Federico Zoppini,,
13,14,Jonathan Lungman,,
14,15,Callum Hinchcliffe,,
15,16,Tayfun Bayraktar,,
16,17,Mathias Boogh,Trickstar,
17,18,Pasquale Guaragna,Dinosaurs,
18,19,JY Sharif,Lightsworn,
19,20,Darren Stephenson,Trickstar,
20,21,Max Van Nijverseel,Trickstar,
21,22,Marcel Brunner,Pendulum Magicians,
22,23,Henri Dopheide,Trickstar,
23,24,Kristoffer Nielsen,SPYRAL,
24,25,Georg Sherer,Dinosaurs,
25,26,<7 unknown Top 32 duelists>,,
