,placement,player,archetype,deck_id
0,1,Joseph Bellafiore,Unchained,unchained-385956
1,2,Jack Allen III,Unchained,unchained-385960
2,3,Pakawat Pamornsut,Infernoble Knight,diabellstar-infernoble-knight-385959
3,4,Christopher LeBlanc,Purrely,purrely-385961
4,5,Justin Singh,Tearlaments,horus-destiny-tearlaments-385903
5,6,Steven Santoli,Rescue-ACE,diabellstar-rescue-ace-386022
6,7,Aditya Dharap,Unchained,unchained-387125
7,8,Matthew Narvaez,Unchained,unchained-387712
8,9,Tyler Schmauch,Tearlaments,horus-destiny-tearlaments-385837
9,10,Andrew Crosley,Tearlaments,destiny-danger-tearlaments-390143
10,11,Timothy Lee Dinh,Mikanko,diabellstar-mikanko-386098
11,12,Lucas Henigan,Rescue-ACE,diabellstar-rescue-ace-387702
12,13,Jaime Mejia,Infernoble Knight,diabellstar-infernoble-knight-387699
13,14,Gabriel Braithwaite,Infernoble Knight,diabellstar-infernoble-knight-387030
14,15,Clifton Land II,Purrely,purrely-393194
15,16,Robert Doolittle,Labrynth,labrynth-387119
16,17,Richard Serrato II,Tearlaments,destiny-danger-tearlaments-386075
17,18,Kristoffer Nielsen,Tearlaments,destiny-danger-tearlaments-388138
18,19,Michael Li,Rescue-ACE,
19,20,Patrick Hoban,Mannadium,scareclaw-mannadium-387813
20,21,Isaiah Houston,Rescue-ACE,diabellstar-rescue-ace-388445
21,22,Kevin Tian,Mikanko,diabellstar-mikanko-385950
22,23,Yiyang Zhuang,Labrynth,unchained-labrynth-386040
23,24,Anthony Xu,Labrynth,unchained-labrynth-386431
24,25,Jesse Kotton,Unchained,unchained-386648
25,26,William Johnson,Salamangreat,salamangreat-385954
26,27,Moises Coronado,Unchained,
27,28,Landon Oliver,Purrely,purrely-386761
28,29,Mark Solis,Unchained,unchained-387150
29,30,Evan Hornick,Dinomorphia,dinomorphia-386647
30,31,Elias Tsirogiannis,Kashtira,kashtira-386070
31,32,David Hernandez Cordon,Unchained,
