,placement,player,archetype,deck_id
0,1,Jesse Kotton,Snake-Eye,fiendsmith-snake-eye-520593
1,2,Andre DeLury,Tenpai Dragon,tenpai-dragon-520703
2,3,Zachary Rodriguez,Snake-Eye,fiendsmith-snake-eye-523732
3,4,Carlos Hernandez,Yubel,fiendsmith-yubel-ftk-520364
4,5,Craig Hayashi,Yubel,fiendsmith-yubel-520718
5,6,George Lucas Sacco,Yubel,fiendsmith-yubel-520427
6,7,Kenneth Kuo,Snake-Eye,
7,8,Alex Bergeron,Snake-Eye,fiendsmith-snake-eye-520720
8,9,John Le,Runick,stun-runick-520497
9,10,Kyle Crofoot,Snake-Eye,fiendsmith-snake-eye-520428
10,11,Brenden Beckmann,Snake-Eye,
11,12,Clifton Land,Memento,fiendsmith-memento-520366
12,13,Gabriel Braithwaite ,Snake-Eye,fiendsmith-snake-eye-520576
13,14,Ibra Wane,White Forest,runick-white-forest-520337
14,15,Michael Albanese,Snake-Eye,fiendsmith-snake-eye-520588
15,16,Shunping Xu,Snake-Eye,fiendsmith-snake-eye-520606
16,17,John Wilkin,Snake-Eye,millennium-fiendsmith-snake-eye-520615
17,18,Tristan Bridges,Yubel,fiendsmith-yubel-520563
18,19,Edwin Strom IV,Snake-Eye,fiendsmith-snake-eye-520319
19,20,Mitchell Martin,Snake-Eye,
20,21,Jose Toscano Carrillo,Snake-Eye,fiendsmith-snake-eye-520890
21,22,Jose G.,Runick,
22,23,Steven Osorio,Snake-Eye,fiendsmith-snake-eye-520570
23,24,Tian Xiao Rong,Yubel,
24,25,William Candia,Snake-Eye,fiendsmith-snake-eye-520722
25,26,Eddie M.,Yubel,
26,27,Orion Gonzales,Snake-Eye,fiendsmith-snake-eye-520502
27,28,Junlong Woo,Yubel,
28,29,Adam Belohradsky,Snake-Eye,fiendsmith-snake-eye-520567
29,30,Carlos Torres,Yubel,fiendsmith-yubel-520724
30,31,Alex Ian Weiner,Snake-Eye,fiendsmith-snake-eye-520499
31,32,Adan Salas,Tenpai Dragon,tenpai-dragon-520498
