,placement,player,archetype,deck_id,deck_cost
0,1,Michel Verissimo Da Silva,Mikanko,diabellstar-mikanko-382633,$127.78
1,2,Luis David Cada Aguilera,Mannadium,scareclaw-mannadium-383214,$179.18
2,3,Carlos Andrés Arraya,Tearlaments,destiny-ishizu-tearlaments-382143,$138.63
3,4,Francisco Andrés Osorio Bobadilla,Tearlaments,revolution-ishizu-tearlaments-389842,$198.87
4,5,Kevin Alexis Aramayo,Swordsoul,superheavy-samurai-yang-zing-tenyi-swordsoul-385406,$126.83
5,6,Félix Gabriel Parra,Rescue-ACE,diabellstar-rescue-ace-382144,$107.72
6,7,Juan Francisco Castillo,Unchained,unchained-385624,$142.64
7,8,Jhon David Guerrero,Unchained,unchained-383211,$150.38
8,9,Paulo Goncalves da Silva,Tearlaments,destiny-danger-tearlaments-390787,$137.69
9,10,Galo Salazar Echeverria,Tearlaments,destiny-danger-tearlaments-382147,$133.41
10,11,Eddie Andre Alba,Rescue-ACE,,
11,12,Alan Marcelo Rivero,Dragon Link,,
12,13,Gerardo Jesus Delgado,Unchained,unchained-389849,$144.41
13,14,Zhau Zhou Zeng,Purrely,purrely-382128,$182.57
14,15,Joaquin Lichtig,Vanquish Soul,vanquish-soul-389843,$282.31
15,16,Carlos Julio Ceballos,Unchained,unchained-383908,$142.04
16,17,Cristhian Vera Zayas,Horus,resonator-bystial-horus-382130,$316.60
17,18,José Antonio Castillo,Tearlaments,revolution-ishizu-tearlaments-389841,$198.87
18,19,Alex David Morales,Rescue-ACE,diabellstar-rescue-ace-382134,$202.40
19,20,Patrick Hoban,Mannadium,scareclaw-mannadium-382127,$185.24
20,21,Juan Mateo Rentería,Spright,adventurer-spright-382131,$181.20
21,22,Andreé Chávez Curioso,Floowandereeze,floowandereeze-389838,$115.86
22,23,Fernando Morales Mamani,Unchained,unchained-389844,$154.40
23,24,Pedro Dratwa Mutzenbruher,Purrely,,
24,25,Carlos Pérez Padilla,Labrynth,labrynth-383224,$267.29
25,26,Gary Roger Andrade,Infernoble Knight,infernoble-knight-389839,$164.67
26,27,Tiago Abner de Lima,Rescue-ACE,diabellstar-rescue-ace-384677,$134.36
27,28,Gerald Marcelo Barrios,Swordsoul,tenyi-swordsoul-389840,$108.33
28,29,Carlos Ruben Meruvia,Unchained,unchained-389847,$120.35
29,30,Jorge Luis Navarro,Labrynth,labrynth-389845,$219.59
30,31,Fabrizio Patzzi Arauz,Labrynth,labrynth-389846,$166.55
31,32,Jose Ernesto Tordoya,,,
