,placement,player,archetype,deck_id,deck_cost
0,1,Henrique Domingues Nascimento,Trickstar,trickstar-395912,$66.31
1,2,Paulo Roberto Goncalves da Silva,,,
2,3,Johan de Castilho Hallack,Thunder Dragon,thunder-dragon-395914,$76.85
3,4,Caio Martins Gonzaga,Sky Striker,sky-striker-395913,$60.08
4,5,Victor Ferreira Dias,,,
5,6,Guilherme Henrique Cardoso,,,
6,7,Santiago Miguel Bolla,,,
7,8,Caio Santos Barreto,,,
8,9,Pedro Lopes,Burning Abyss,sekka-burning-abyss-395915,$49.84
9,10,Armani Abarno,Altergeist,altergeist-395917,$48.28
10,11,<6 unknown Top 16 duelists>,,,
11,12,Wellington Nogueira,Thunder Dragon,brilliant-thunder-dragon-395918,$84.52
12,13,Hugo Fukuda,Burning Abyss,burning-abyss-395919,$52.88
13,14,<14 unknown Top 32 duelists>,,,
