,placement,player,archetype,deck_id
0,1,Dakota Angeloff,Trickstar,sky-striker-trickstar-365785
1,2,Manav Dawar,Sky Striker,sky-striker-365788
2,3,Mike Zimmitti,Trickstar,
3,4,Calvin Chow,Trickstar,sky-striker-trickstar-365790
4,5,Titto Alias Maret,Sky Striker,sky-striker-365797
5,6,Jonathan Yan NY Ma,Gouki,
6,7,Hani Yasser Jawhari,Gouki,sky-striker-gouki-365794
7,8,Raymond Young Dai,Sky Striker,
8,9,Muhtasim Tahmid Mallick,Trickstar,sky-striker-trickstar-365802
9,10,Maximillian John Edwards Reynolds,Trickstar,
10,11,Galileo Mauricio De Obaldia Soza,Trickstar,
11,12,Calvin Habib Tahan,ABC,sky-striker-abc-365800
12,13,Timothy George Cox,Trickstar,sky-striker-trickstar-365805
13,14,Anthony James Sciulli,Trickstar,trickstar-365798
14,15,Matthew Evan Harris Vanden Heuvel,Gouki,
15,16,Alex Edmund Coffey,Gouki,gouki-365803
16,17,Steven J. Trifunoski,Pendulum,60-card-pendulum-magicians-365814
17,18,Kristoffer Nielsen,Trickstar,sky-striker-trickstar-365817
18,19,Bohdan John Temnyk,Trickstar,sky-striker-trickstar-365812
19,20,Cristian Rafael Urena,Trickstar,sky-striker-trickstar-365813
20,21,Luke Joseph Parkes,Trickstar,sky-striker-trickstar-365806
21,22,Jeffrey Parker York Jr.,Gouki,sky-striker-gouki-365818
22,23,Kevin Kennith Bortle Jr.,Trickstar,sky-striker-trickstar-365821
23,24, Gabriel Julius France,Altergeist,altergeist-365819
24,25,Daniel Peter Shogan,SPYRAL,spyral-365820
25,26,Angel Enrique Carrion Tabarcia Jr.,,
26,27,Yucheng Li,,
27,28, Darren James Stephenson,,
28,29,Jeffrey Michael Alexander Jones,,
29,30,Johnathan Wayne Gochenour,,
30,31,Aaron Chase Furman,,
31,32,Kenny Allen Reeves,,
