,placement,player,archetype,deck_id,deck_cost
0,1,Jesse Kotton,Tearlaments,bystial-ishizu-tearlaments-315455,$182.42
1,2,Matt Raschella,Floowandereeze,floowandereeze-315189,$55.19
2,3,Joshua Hole,Tearlaments,,
3,4,Isaac Lim,Tearlaments,ishizu-tearlaments-314830,$170.78
4,5,Ashoka Garin Michaud,Tearlaments,shaddoll-ishizu-tearlaments-314834,$112.95
5,6,Harrison Jeffrey,Tearlaments,bystial-ishizu-tearlaments-314986,$192.76
6,7,Raphael Neven,Tearlaments,bystial-ishizu-tearlaments-314844,$161.93
7,8,Max Winters,Tearlaments,bystial-ishizu-tearlaments-314962,$181.86
8,9,Joshua Ng,Tearlaments,bystial-ishizu-tearlaments-315804,$174.95
9,10,Brian Hua,Tearlaments,bystial-ishizu-tearlaments-314956,$162.52
10,11,Poe Jiang,Tearlaments,bystial-ishizu-tearlaments-314956,$162.52
11,12,Lincoln Johnston ,Tearlaments,,
12,13,River Marshall,Tearlaments,,
13,14,Dino Spasovski,Tearlaments,ishizu-tearlaments-314958,$156.59
14,15,Brayden Meaker ,Spright,,
15,16,Simon Leech,Floowandereeze,,
16,17,Destyn Weir,Thunder Dragon,ishizu-tearlaments-bystial-thunder-dragon-314825,$205.98
17,18,Nicholas Mulianto,Tearlaments,,
18,19,Luke Arcella,Swordsoul,bystial-tenyi-swordsoul-314842,$176.91
19,20,John Kim,Tearlaments,,
20,21,Joshua Vine,Tearlaments,,
21,22,Alex Pataclang,Tearlaments,,
22,23,Bohdan Temnyk,Tearlaments,bystial-ishizu-tearlaments-315304,$167.35
23,24,Ryan Nelson,Tearlaments,ishizu-tearlaments-314824,$213.91
24,25,Julian Zincone,Spright,,
25,26,Liam Debono,Spright,bystial-spright-314828,$226.88
26,27,Jack Hargreaves,Spright,spright-314987,$195.66
27,28,Long Nguyen,Spright,,
28,29,Elton Zhang,Swordsoul,bystial-swordsoul-314819,$212.46
29,30,William Lam,Runick,runick-314965,$65.12
30,31,Rhys Cunningham,Runick,runick-314823,$40.40
31,32,Glen Azize,Floowandereeze,floowandereeze-315398,$88.56
