,placement,player,archetype,deck_id
0,1,Frederick Cammell,Ryzeal,ryzeal-576145
1,2,Andrew Udal,Maliss,maliss-576495
2,3,Brandon Joyce,Maliss,bystial-maliss-577771
3,4,Kunlun Lei,Blue-Eyes,primite-blue-eyes-576154
4,5,Yacine Sahli,Crystron,kashtira-crystron-576387
5,6,Fox Chudleigh,Maliss,bystial-maliss-576384
6,7,Anthony Nguyen,Ryzeal,fiendsmith-ryzeal-578719
7,8,Brock Dale,Maliss,maliss-576491
8,9,Daniel Pollard,Blue-Eyes,primite-buster-blader-blue-eyes-576414
9,10,Micah Catelan,Phantom Knights,horus-fiendsmith-phantom-knights-576141
10,11,Harrison Kneeshaw,Blue-Eyes,primite-blue-eyes-576377
11,12,Matt Longworth,Mitsurugi,ryzeal-mitsurugi-580322
12,13,Zhouran Liu,Mitsurugi,
13,14,Kodai Okamoto,Ryzeal,ryzeal-576103
14,15,Bodhi Burgess,Maliss,maliss-576992
15,16,Brennan Sive,Maliss,
16,17,Andre Yiu,Memento,goblin-biker-memento-576350
17,18,Brad Delphin,Ryzeal,fiendsmith-ryzeal-576148
18,19,Edson Corser,Mitsurugi,ryzeal-mitsurugi-576151
19,20,Ali Obeido,Bystial,fiendsmith-bystial-576496
20,21,George Sagris,Maliss,bystial-maliss-580457
21,22,Weitong Li,Ryzeal,
22,23,Cynthia Woods,Ryzeal,
23,24,Dhruv Passi,Ryzeal,
24,25,Ben Greco,Ryzeal,
25,26,Samuel Quan,White Forest,azamina-white-forest-576116
26,27,Kai Rouse,Mermail,
27,28,Dominic Italiano,Ryzeal,ryzeal-576427
28,29,Christopher Nicdao,Maliss,maliss-576084
29,30,Michael Owen,Ryzeal,
30,31,Zhengshao Shi,Ryzeal,
31,32,Daniel Peck,Maliss,
