,placement,player,archetype,deck_id,deck_cost
0,1,Joshua Schmidt,Runick,spright-runick-307249,$116.74
1,2,Dinh-Kha Bui,Runick,spright-runick-307225,$106.95
2,3,Francesco Girgenti,Spright,evil-twin-spright-307226,$118.52
3,4,Daniel Kotter,Runick,,
4,5,Jack Verma,Tearlaments,scareclaw-adventurer-danger-tearlaments-307228,$95.54
5,6,Lorenzo Muselli,Tearlaments,salvation-runick-tearlaments-307347,$66.65
6,7,Joshua Ostmann,Exosister,exosister-307222,$121.70
7,8,<unknown duelist>,,,
8,9,Alex Robertson,Rikka,,
9,10,Daniele Stella,Tearlaments,scareclaw-danger-tearlaments-307466,$78.45
10,11,Diego Ganzerli,Floowandereeze,floowandereeze-307434,$58.24
11,12,Flaminio Rossi,,,
12,13,Thomas Rose,,,
13,14,Dorian Cacitti-Holland,,danger-adventurer-tearlaments-307342,$81.33
14,15,Julian Strassl,,,
15,16,<unknown duelist>,,,
16,17,Niklas Frey,Spright,trickstar-runick-spright-307232,$100.14
17,18,Zio Mundry,Runick,spright-runick-307339,$98.90
18,19,Firat Karatas,Tearlaments,scareclaw-tearlaments-307515,$110.20
19,20,Serkan Eker,Spright,adventurer-spright-307234,$113.76
20,21,Alex Biemans,Mathmech,mathmech-307230,$69.47
21,22,Théo Ruiz,Spright,spright-307512,$134.71
22,23,Giuseppe Davide,Floowandereeze,floowandereeze-307514,$60.52
23,24,A. Petitjean,,,
24,25,L. Susemiehl,,,
25,26,Karlo Lukic,,,
26,27,Pierre Kazoum,,,
27,28,Eric Töpel,,,
28,29,M. Parenza,,,
29,30,Nils B. Fischer,,,
30,31,Jacob Harber,,,
31,32,Oliver Kosch,,,
32,33,Karl Jiang,Tearlaments,branded-adventurer-tearlaments-307464,$87.44
33,34,Joo-Ho Ahn,Runick,spright-runick-307330,$94.94
34,35,Daniel Hartmann,Runick,spright-runick-307329,$98.63
35,36,Themis Gkyzis,Tearlaments,branded-tearlaments-307435,$96.18
36,37,Sebastian B.,Swordsoul,tenyi-swordsoul-307437,$81.39
37,38,Dinh Khang Pham,Spright,evil-twin-spright-307332,$151.26
38,39,Thanh Duong,Spright,adventurer-spright-307337,$115.28
39,40,Tobias Thielen,Tearlaments,therion-tearlaments-307462,$98.06
40,41,Guillaume Venier,Tearlaments,scareclaw-tearlaments-307513,$114.30
41,42,Niko Schlierkamp,Runick,spright-runick-307519,$113.22
42,43,Gianluca Sarcina,Despia,branded-despia-307579,$59.25
43,44,Alessandro Boniolo ,Floowandereeze,floowandereeze-307345,$61.18
44,45,Argirò,Floowandereeze,floowandereeze-307434,$58.24
45,46,Luke Tyler,Mathmech,mathmech-307335,$60.71
46,47,Palumbo,Floowandereeze,floowandereeze-307434,$58.24
47,48,Jan S.,Mathmech,mathmech-307314,$48.83
