,placement,player,archetype,deck_id
0,1,Ryhan Jabri,Salamangreat,
1,2,Matteo Bertulezzi,Dragon Link,
2,3,Jordan Gallacher,Shaddoll,
3,4,Flavio Palumbo,SPYRAL,
4,5,Donovan Beriot,Salamangreat,
5,6,Giuseppe Davide Pennino,SPYRAL,
6,7,Sam Pearson,Invoked,
7,8,An Qi Xu,SPYRAL,
8,9,Gabriel Soussi,Salamangreat,
9,10,Bart Ladru,Shaddoll,
10,11,Zoltan Kolonics,Orcust,
11,12,Oliver Newton,Altergeist,
12,13,Michael Betz,,
13,14,Kamil Rycko,,
14,15,Elyas Mirzazadeh,,
15,16,Sophiane Belkacem,,
16,17,Kevin Schlieben,SPYRAL,
17,18,Domenic Anton,Thunder Dragon,
18,19,Simon He,Salamangreat,
19,20,<13 unknown Top 32 duelists>,,
