,placement,player,archetype,deck_id,deck_cost
0,1,Jesse Kotton,Unchained,unchained-359139,$137.25
1,2,Kody Manabe,Unchained,unchained-359277,$166.46
2,3,Richard Schaber,Unchained,unchained-359280,$114.99
3,4,Christopher LeBlanc,Purrely,purrely-359283,$170.15
4,5,Joo-Ho Ahn,Unchained,unchained-359318,$128.08
5,6,David Flores,Unchained,unchained-361328,$122.78
6,7,Bestoor Sedghi,Infernoble Knight,infernoble-knight-359137,$78.98
7,8,Blake Morrison,Kashtira,kashtira-360149,$228.99
8,9,Alexander Wentzell,Dragon Link,bystial-dragon-link-359288,$267.20
9,10,Darren Dyal,Dragon Link,bystial-dragon-link-361281,$169.26
10,11,James Zhang,Labrynth,unchained-labrynth-359295,$193.08
11,12,Mustapha Ghanem,Kashtira,adventurer-kashtira-360154,$172.81
12,13,Dinh Khang Pham,Spright,,
13,14,Edward Lu,Purrely,purrely-364038,$124.40
14,15,Bradley McLean,Kashtira,,
15,16,Jack Steenkamer,Rescue-ACE,rescue-ace-359286,$140.55
16,17,Andrew Do,Despia,chimera-branded-despia-360152,$69.30
17,18,Ryan Yu,Dragon Link,bystial-dragon-link-361010,$200.23
18,19,John Roque,Dragon Link,bystial-dragon-link-360008,$244.50
19,20,David Ngo,Dragon Link,,
20,21,Zach Cameron,Dragon Link,,
21,22,Vivek Vattyam,Mannadium,scareclaw-mannadium-359291,$170.51
22,23,Matthew Heuvel,Unchained,,
23,24,Joseph Crask,Purrely,,
24,25,Destin Kaspi,Purrely,purrely-360150,$195.24
25,26,Marcus Patel,Unchained,unchained-360118,$119.24
26,27,Royal Ghazzawi,Floowandereeze,,
27,28,Liborio Barone,Kashtira,kashtira-361008,$210.91
28,29,Mertjan Ozbek,Floowandereeze,floowandereeze-360153,$83.88
29,30,John Wilkin,Purrely,purrely-360005,$180.13
30,31,Patrick Hoban,Unchained,unchained-360111,$173.04
31,32,Cristian Urena,Unchained,,
